YHM,temp
19450000,+0085
19450100,+0085
19450200,+0096
19450300,+0124
19450400,+0135
19450500,+0141
19450600,+0163
19450700,+0163
19450800,+0169
19450900,+0169
19451000,+0146
19451100,+0146
19451200,+0091
19451300,+0080
19451400,+0074
19451500,+0069
19451600,+0052
19451700,+0052
19451800,+0035
19451900,+0041
19452000,+0035
19452100,+0035
19452200,+0030
19452300,+0024
19460000,+0091
19460100,+0091
19460200,+0096
19460300,+0102
19460400,+0113
19460500,+0113
19460600,+0113
19460700,+0113
19460800,+0107
19460900,+0107
19461000,+0102
19461100,+0102
19462200,+0102
19462300,+0102
19560000,-0011
19560300,+0039
19560900,+0061
19561200,+0028
19561800,+0000
19562100,-0022
19570000,+0100
19570300,+0122
19570600,+0139
19570900,+0139
19571500,+0050
19571800,+0000
19580000,+0078
19580600,+0122
19580900,+0111
19581200,+0072
19581500,+0050
19581800,+0039
19582100,+0000
19590000,+0022
19590300,+0072
19590600,+0100
19590900,+0100
19591200,+0050
19591500,+0028
19591800,+0039
19592100,+0061
19600000,+0050
19600300,+0128
19600600,+0172
19601200,+0078
19601500,+0078
19601800,+0072
19610000,+0061
19610300,+0111
19610600,+0139
19610900,+0122
19611200,+0078
19611500,+0061
19611800,+0061
19612100,+0050
19620000,+0000
19620300,+0089
19620600,+0139
19620900,+0122
19621200,+0039
19621500,+0028
19621800,+0022
19622100,-0011
19630000,+0100
19630300,+0139
19630600,+0150
19630900,+0128
19631200,+0111
19631500,+0100
19631800,+0111
19632100,+0078
19640000,+0022
19640300,+0139
19640600,+0150
19640900,+0139
19641200,+0072
19641500,+0072
19641800,+0072
19642100,+0039
19730000,+0010
19730300,+0110
19730600,+0150
19730900,+0120
19731200,+0070
19731500,+0050
19731800,+0010
19732100,+0010
19740000,+0030
19740300,+0070
19740600,+0140
19740900,+0130
19741200,+0080
19741500,+0050
19741800,+0060
19742100,+0070
19750000,+0060
19750300,+0150
19750600,+0160
19750900,+0150
19751200,+0090
19751500,+0090
19751800,+0090
19752100,+0070
19760000,+0020
19760300,+0030
19760600,+0040
19760900,+0040
19761200,+0040
19761500,+0040
19761800,+0030
19762100,+0030
19770000,+0030
19770300,+0110
19770600,+0130
19770900,+0120
19771200,+0100
19771500,+0080
19771800,+0050
19772100,+0050
19780000,+0040
19780300,+0120
19780600,+0150
19780900,+0130
19781200,+0090
19781500,+0100
19781800,+0090
19782100,+0090
19790000,+0030
19790300,+0110
19790500,+0130
19790600,+0140
19790700,+0150
19790900,+0130
19791200,+0090
19791500,+0070
19791800,+0050
19792100,+0040
19800000,+0050
19800300,+0130
19800600,+0190
19800900,+0150
19801500,+0110
19801800,+0080
19802100,+0060
19810000,-0020
19810600,+0050
19810900,+0020
19811200,+0010
19811500,-0010
19811800,-0010
19812100,-0020
19820000,+0086
19820300,+0113
19820400,+0120
19820500,+0130
19820600,+0153
19820700,+0150
19820800,+0150
19820900,+0139
19821200,+0082
19821500,+0074
19821800,+0070
19822100,+0055
19822300,+0060
19830000,+0062
19830300,+0116
19830600,+0143
19830900,+0130
19831200,+0078
19831500,+0082
19831800,+0053
19832100,+0055
19840000,+0124
19840300,+0149
19840600,+0168
19840900,+0148
19841200,+0096
19841500,+0090
19841800,+0052
19842100,+0032
19850000,+0035
19850300,+0130
19850600,+0152
19850900,+0137
19851200,+0094
19851500,+0075
19851800,+0088
19852100,+0073
19860000,+0020
19860300,+0124
19860600,+0149
19860900,+0122
19861200,+0108
19861500,+0070
19861800,+0061
19862100,+0046
19870000,+0010
19870300,+0105
19870600,+0115
19870900,+0095
19871000,+0051
19871200,+0056
19871500,+0051
19871800,+0025
19872100,+0008
19880000,+0069
19880017,+0070
19880020,+0070
19880100,+0140
19880112,+0110
19880119,+0110
19880120,+0110
19880200,+0170
19880203,+0140
19880300,+0175
19880400,+0180
19880412,+0180
19880500,+0200
19880521,+0200
19880600,+0199
19880620,+0210
19880800,+0190
19880816,+0190
19880818,+0190
19880900,+0169
19880918,+0160
19881000,+0064
19881018,+0110
19881118,+0120
19881119,+0120
19881200,+0136
19881300,+0080
19881325,+0080
19881400,+0070
19881418,+0070
19881419,+0070
19881500,+0100
19881516,+0070
19881600,+0060
19881800,+0064
19882000,+0040
19882019,+0040
19882100,+0039
19882200,+0030
19882300,+0030
19882347,+0030
19890000,+0059
19890100,+0100
19890200,+0140
19890300,+0133
19890400,+0160
19890500,+0160
19890600,+0149
19890700,+0170
19890800,+0150
19890900,+0130
19891000,+0110
19891100,+0110
19891200,+0101
19891300,+0080
19891400,+0070
19891500,+0082
19891800,+0076
19892000,+0070
19892100,+0069
19892200,+0060
19892300,+0070
19900000,+0050
19900100,+0070
19900300,+0145
19900400,+0150
19900500,+0160
19900600,+0177
19900900,+0152
19901000,+0130
19901100,+0100
19901200,+0096
19901300,+0090
19901400,+0090
19901500,+0080
19901800,+0063
19902100,+0075
19902200,+0060
19902300,+0050
19910000,+0082
19910100,+0070
19910200,+0070
19910300,+0089
19910400,+0080
19910500,+0090
19910600,+0088
19910700,+0090
19910800,+0090
19910900,+0090
19911000,+0060
19911100,+0060
19911200,+0060
19911300,+0070
19911400,+0070
19911500,+0040
19911800,+0008
19912000,+0020
19912200,+0000
19912300,+0000
19920000,+0050
19920100,+0090
19920200,+0110
19920300,+0127
19920400,+0130
19920500,+0150
19920600,+0149
19920700,+0160
19920800,+0150
19920900,+0127
19921000,+0130
19921100,+0120
19921200,+0116
19921300,+0090
19921400,+0090
19921500,+0092
19921600,+0080
19921700,+0070
19921800,+0078
19921900,+0060
19922000,+0050
19922100,+0035
19922200,+0040
19922300,+0020
19930000,+0122
19930100,+0130
19930200,+0130
19930300,+0131
19930400,+0140
19930500,+0140
19930600,+0137
19930700,+0140
19930800,+0130
19930900,+0124
19931100,+0110
19931200,+0113
19931300,+0100
19931400,+0090
19931500,+0096
19931600,+0080
19931800,+0090
19932000,+0050
19932100,+0085
19932200,+0060
19932300,+0070
19940000,+0122
19940300,+0154
19940400,+0160
19940500,+0170
19940600,+0172
19940700,+0170
19940800,+0160
19940900,+0163
19941000,+0130
19941100,+0120
19941200,+0111
19941300,+0090
19941400,+0080
19941500,+0118
19941600,+0080
19941800,+0070
19942000,+0050
19942100,+0059
19942200,+0040
19942300,+0040
19950000,+0102
19950100,+0120
19950200,+0160
19950300,+0182
19950400,+0190
19950500,+0210
19950600,+0201
19950700,+0210
19950800,+0200
19950900,+0171
19951000,+0150
19951100,+0130
19951200,+0114
19951300,+0100
19951400,+0090
19951500,+0075
19951600,+0060
19951700,+0050
19951800,+0036
19952000,+0000
19952100,+0002
19952200,+0000
19952300,+0000
19960000,+0004
19960100,+0010
19960200,+0030
19960300,+0034
19960400,+0050
19960500,+0050
19960600,+0060
19960700,+0050
19960800,+0050
19960900,+0050
19961000,+0040
19961100,+0040
19961200,+0041
19961300,+0020
19961400,+0020
19961500,+0026
19961600,+0010
19961700,+0010
19961800,+0019
19961900,+0010
19962000,+0010
19962100,+0000
19962200,+0000
19962300,+0000
19970000,+0038
19970100,+0070
19970200,+0100
19970300,+0125
19970400,+0140
19970500,+0150
19970600,+0146
19970700,+0150
19970800,+0150
19970900,+0133
19971000,+0110
19971100,+0100
19971200,+0096
19971300,+0100
19971400,+0070
19971500,+0071
19971600,+0060
19971700,+0060
