YHM,temp
19470000,+0013
19470100,+0008
19470200,-0004
19470300,+0002
19470400,+0002
19470500,+0002
19470600,-0009
19470700,-0015
19470800,-0020
19470900,-0031
19471000,-0042
19471100,-0042
19471200,-0048
19471300,-0048
19471400,-0026
19471500,-0004
19471600,+0030
19471700,+0046
19471800,+0063
19471900,+0074
19472000,+0080
19472100,+0085
19472200,+0052
19472300,+0019
19480000,-0198
19480100,-0203
19480200,-0203
19480300,-0203
19480400,-0203
19480500,-0220
19480600,-0220
19480700,-0226
19480800,-0226
19480900,-0231
19481000,-0231
19481100,-0237
19481200,-0231
19481300,-0231
19481400,-0214
19481500,-0170
19481600,-0142
19481700,-0120
19481800,-0103
19481900,-0098
19482000,-0098
19482100,-0098
19482200,-0103
19482300,-0120
19490000,-0081
19490100,-0087
19490200,-0087
19490300,-0092
19490400,-0087
19490500,-0092
19490600,-0092
19490700,-0092
19490800,-0098
19490900,-0098
19491000,-0081
19491100,-0070
19491200,-0042
19491300,-0037
19491400,-0031
19491500,-0026
19491600,-0020
19491700,-0015
19491800,-0009
19491900,-0004
19492000,+0002
19492100,+0002
19492200,+0008
19492300,+0008
19500000,+0013
19500100,+0008
19500200,+0019
19500300,+0013
19500400,+0013
19500500,+0008
19500600,-0037
19500700,-0076
19500800,-0092
19500900,-0098
19501000,-0103
19501100,-0103
19501200,-0115
19501300,-0120
19501400,-0120
19501500,-0120
19501600,-0131
19501700,-0137
19501800,-0137
19501900,-0137
19502000,-0126
19502100,-0131
19502200,-0137
19502300,-0142
19510000,+0019
19510100,+0008
19510200,-0009
19510300,-0020
19510400,-0026
19510500,-0031
19510600,-0026
19510700,-0020
19510800,+0008
19510900,+0008
19511000,+0013
19511100,+0002
19511200,+0002
19511300,+0002
19511400,+0019
19511500,+0030
19511600,+0046
19511700,+0052
19511800,+0063
19511900,+0069
19512000,+0074
19512100,+0074
19512200,+0080
19512300,+0080
19520000,+0008
19520100,+0002
19520200,-0009
19520300,-0009
19520400,-0015
19520500,-0020
19520600,-0020
19520700,-0026
19520800,-0026
19520900,-0031
19521000,-0042
19521100,-0037
19521200,-0031
19521300,-0031
19521400,-0020
19521500,-0009
19521600,-0004
19521700,+0013
19521800,+0019
19521900,+0019
19522000,+0019
19522100,+0013
19522200,+0008
19522300,+0002
19530000,+0002
19530100,-0004
19530200,-0009
19530300,-0020
19530400,-0037
19530500,-0037
19530600,-0037
19530700,-0037
19530800,-0037
19530900,-0042
19531000,-0042
19531100,-0031
19531200,-0031
19531300,-0037
19531400,-0026
19531500,-0015
19531600,+0002
19531700,+0002
19531800,+0008
19531900,+0008
19532000,+0002
19532100,+0002
19532200,-0004
19532300,-0009
19540000,-0137
19540100,-0148
19540200,-0142
19540300,-0142
19540400,-0137
19540500,-0131
19540600,-0126
19540700,-0120
19540800,-0120
19540900,-0115
19541000,-0109
19541100,-0115
19541200,-0115
19541300,-0081
19541400,-0076
19541500,-0065
19541600,-0059
19541700,-0042
19541800,-0042
19541900,-0031
19542000,-0026
19542100,-0026
19542200,-0031
19542300,-0042
19550000,-0020
19550100,-0020
19550200,-0020
19550300,-0020
19550400,-0031
19550500,-0042
