year,hour,obs,D1,D7,D30,D365
1976,0,-60,,,,
1976,1,-63,,,,
1976,2,,,,,
1976,3,-70,,,,
1976,4,-67,,,,
1976,5,,,,,
1976,6,-60,,,,
1976,7,-57,,,,
1976,8,,,,,
1976,9,-50,,,,
1976,10,-53,,,,
1976,11,,,,,
1976,12,-60,,,,
1976,13,-57,,,,
1976,14,,,,,
1976,15,-50,,,,
1976,16,-50,,,,
1976,17,,,,,
1976,18,-50,,,,
1976,19,-47,,,,
1976,20,,,,,
1976,21,-40,,,,
1976,22,-40,,,,
1976,23,,,,,
1977,0,-130,,,,
1977,1,-130,,,,
1977,2,,,,,
1977,3,-130,,,,
1977,4,-123,,,,
1977,5,,,,,
1977,6,-110,,,,
1977,7,-100,,,,
1977,8,,,,,
1977,9,-80,,,,
1977,10,-80,,,,
1977,11,,,,,
1977,12,-80,,,,
1977,13,-80,,,,
1977,14,,,,,
1977,15,,,,,
1977,16,,,,,
1977,17,,,,,
1977,18,-80,,,,
1977,19,-83,,,,
1977,20,,,,,
1977,21,-90,,,,
1977,22,-90,,,,
1977,23,,,,,
1978,0,-100,,,,
1978,1,-103,,,,
1978,2,,,,,
1978,3,-110,,,,
1978,4,-97,,,,
1978,5,,,,,
1978,6,-70,,,,
1978,7,-67,,,,
1978,8,,,,,
1978,9,-60,,,,
1978,10,-57,,,,
1978,11,,,,,
1978,12,-50,,,,
1978,13,-33,,,,
1978,14,,,,,
1978,15,0,,,,
1978,16,7,,,,
1978,17,,,,,
1978,18,20,,,,
1978,19,13,,,,
1978,20,,,,,
1978,21,0,,,,
1978,22,3,,,,
1978,23,,,,,
1979,0,-140,,,,
1979,1,-133,,,,
1979,2,,,,,
1979,3,-120,,,,
1979,4,-113,,,,
1979,5,,,,,
1979,6,-100,,,,
1979,7,-97,,,,
1979,8,,,,,
1979,9,-90,,,,
1979,10,-87,,,,
1979,11,,,,,
1979,12,-80,,,,
1979,13,-80,,,,
1979,14,,,,,
1979,15,-80,,,,
1979,16,-82,,,,
1979,17,,,,,
1979,18,,,,,
1979,19,,,,,
1979,20,,,,,
1979,21,-90,,,,
1979,22,-93,,,,
1979,23,,,,,
1980,0,-80,,,,
1980,1,-83,,,,
1980,2,,,,,
1980,3,-90,,,,
1980,4,-87,,,,
1980,5,,,,,
1980,6,-80,,,,
1980,7,-73,,,,
1980,8,,,,,
1980,9,-60,,,,
1980,10,-60,,,,
1980,11,,,,,
1980,12,-60,,,,
1980,13,-60,,,,
1980,14,,,,,
1980,15,-60,,,,
1980,16,-60,,,,
1980,17,,,,,
1980,18,-60,,,,
1980,19,-67,,,,
1980,20,,,,,
1980,21,-80,,,,
1980,22,-87,,,,
1980,23,,,,,
1981,0,-120,,,,
1981,1,-127,,,,
1981,2,,,,,
1981,3,-140,,,,
1981,4,-133,,,,
1981,5,,,,,
1981,6,-120,,,,
1981,7,-117,,,,
1981,8,,,,,
1981,9,-110,,,,
1981,10,-107,,,,
1981,11,,,,,
1981,12,-100,,,,
1981,13,-97,,,,
1981,14,,,,,
1981,15,-90,,,,
1981,16,-87,,,,
1981,17,,,,,
1981,18,-80,,,,
1981,19,-80,,,,
1981,20,,,,,
1981,21,-80,,,,
1981,22,-90,,,,
1981,23,,,,,
1982,0,-20,,,,
1982,1,-20,,,,
1982,2,,,,,
1982,3,-19,,,,
1982,4,-19,,,,
1982,5,,,,,
1982,6,-18,,,,
1982,7,-14,,,,
1982,8,,,,,
1982,9,-5,,,,
1982,10,-4,,,,
1982,11,,,,,
1982,12,,,,,
1982,13,,,,,
1982,14,,,,,
1982,15,0,,,,
1982,16,0,,,,
1982,17,,,,,
1982,18,0,,,,
1982,19,-3,,,,
1982,20,,,,,
1982,21,-8,,,,
1982,22,-6,,,,
1982,23,,,,,
1983,0,-48,,,,
1983,1,-53,,,,
1983,2,,,,,
1983,3,-64,,,,
1983,4,-55,,,,
1983,5,,,,,
1983,6,-38,,,,
1983,7,-36,,,,
1983,8,,,,,
1983,9,-33,,,,
1983,10,-32,,,,
1983,11,,,,,
1983,12,-29,,,,
1983,13,-29,,,,
1983,14,,,,,
1983,15,-30,,,,
1983,16,-31,,,,
1983,17,,,,,
1983,18,-33,,,,
1983,19,-33,,,,
1983,20,,,,,
1983,21,-33,,,,
1983,22,-34,,,,
1983,23,,,,,
1984,0,-63,,,,
1984,1,-67,,,,
1984,2,,,,,
1984,3,-76,,,,
1984,4,-77,,,,
1984,5,,,,,
1984,6,-80,,,,
1984,7,-79,,,,
1984,8,,,,,
1984,9,-78,,,,
1984,10,-77,,,,
1984,11,,,,,
1984,12,-75,,,,
1984,13,-72,,,,
1984,14,,,,,
1984,15,-66,,,,
1984,16,-64,,,,
1984,17,,,,,
1984,18,-61,,,,
1984,19,-71,,,,
1984,20,,,,,
1984,21,-90,,,,
1984,22,-102,,,,
1984,23,,,,,
1985,0,-38,,,,
1985,1,-40,,,,
1985,2,,,,,
1985,3,-44,,,,
1985,4,-45,,,,
1985,5,-37,,,,
1985,6,,,,,
1985,7,,,,,
1985,8,,,,,
1985,9,,,,,
1985,10,,,,,
1985,11,-15,,,,
1985,12,-11,,,,
1985,13,-13,,,,
1985,14,,,,,
1985,15,-20,,,,
1985,16,-20,,,,
1985,17,-20,,,,
1985,18,-18,,,,
1985,19,-20,,,,
1985,20,-20,,,,
1985,21,-18,,,,
1985,22,-19,,,,
1985,23,-20,,,,
1986,0,-107,,,,
1986,1,-108,,,,
1986,2,-108,,,,
1986,3,-106,,,,
1986,4,-100,,,,
1986,5,-90,,,,
1986,6,-86,,,,
1986,7,-80,,,,
1986,8,-85,,,,
1986,9,-87,,,,
1986,10,-85,,,,
1986,11,-80,-83,,,
1986,12,-78,-84,,,
1986,13,-70,-84,,,
1986,14,-70,-85,,,
1986,15,-67,-85,,,
1986,16,-65,-85,,,
1986,17,-58,-85,,,
1986,18,-55,-84,,,
1986,19,-59,-84,,,
1986,20,,,,,
1986,21,-68,,,,
1986,22,-72,,,,
1986,23,,,,,
1987,0,-114,,,,
1987,1,-105,,,,
1987,2,-105,-72,,,
1987,3,-109,-73,,,
1987,4,-90,-73,,,
1987,5,-70,-73,,,
1987,6,-64,-72,,,
1987,7,-55,-72,,,
1987,8,-65,-72,,,
1987,9,-56,-72,,,
1987,10,-45,-71,,,
1987,11,-55,-71,,,
1987,12,-61,-71,,,
1987,13,-60,-71,,,
1987,14,-60,-71,,,
1987,15,-59,-71,,,
1987,16,-60,-72,,,
1987,17,-58,-72,,,
1987,18,-57,-73,,,
1987,19,-64,-73,,,
1987,20,,,,,
1987,21,-79,,,,
1987,22,-84,,,,
1987,23,,,,,
1988,0,9,,,,
1988,1,8,,,,
1988,2,,,,,
1988,3,7,,,,
1988,4,5,,,,
1988,5,5,,,,
1988,6,5,,,,
1988,7,5,,,,
1988,8,10,,,,
1988,9,13,,,,
1988,10,17,,,,
1988,11,,,,,
1988,12,11,,,,
1988,13,30,,,,
1988,14,30,,,,
1988,15,33,,,,
1988,16,30,,,,
1988,17,30,,,,
1988,18,31,,,,
1988,19,32,,,,
1988,20,,,,,
1988,21,35,,,,
1988,22,30,,,,
1988,23,,,,,
1989,0,-11,,,,
1989,1,-12,,,,
1989,2,,,,,
1989,3,-13,,,,
1989,4,-10,,,,
1989,5,-10,,,,
1989,6,-10,,,,
1989,7,-10,,,,
1989,8,-5,,,,
1989,9,0,,,,
1989,10,-5,,,,
1989,11,0,,,,
1989,12,-2,,,,
1989,13,-1,,,,
1989,14,0,,,,
1989,15,0,,,,
1989,16,0,,,,
1989,17,-2,,,,
1989,18,-5,,,,
1989,19,-6,,,,
1989,20,,,,,
1989,21,-8,,,,
1989,22,-9,,,,
1989,23,,,,,
1990,0,-54,,,,
1990,1,-51,,,,
1990,2,,,,,
1990,3,-46,,,,
1990,4,-45,,,,
1990,5,-45,,,,
1990,6,-47,,,,
1990,7,-60,,,,
1990,8,-60,,,,
1990,9,-58,,,,
1990,10,-50,,,,
1990,11,-50,,,,
1990,12,-48,,,,
1990,13,-45,,,,
1990,14,-45,,,,
1990,15,-46,,,,
1990,16,-40,,,,
1990,17,-40,,,,
1990,18,-41,,,,
1990,19,-43,,,,
1990,20,,,,,
1990,21,-48,,,,
1990,22,-51,,,,
1990,23,,,,,
1991,0,-53,,,,
1991,1,-55,,,,
1991,2,,,,,
1991,3,-59,,,,
1991,4,-55,,,,
1991,5,-60,,,,
1991,6,-71,,,,
1991,7,-70,,,,
1991,8,-70,,,,
1991,9,-69,,,,
1991,10,-70,,,,
1991,11,-66,,,,
1991,12,-61,,,,
1991,13,-55,,,,
1991,14,-50,,,,
1991,15,-55,,,,
1991,16,-65,,,,
1991,17,-70,,,,
1991,18,-70,,,,
1991,19,-76,,,,
1991,20,,,,,
1991,21,-88,,,,
1991,22,-92,,,,
1991,23,,,,,
1992,0,-10,,,,
1992,1,-3,,,,
1992,2,,,,,
1992,3,10,,,,
1992,4,9,,,,
1992,5,,,,,
1992,6,7,,,,
1992,7,15,,,,
1992,8,,,,,
1992,9,31,,,,
1992,10,30,,,,
1992,11,30,,,,
1992,12,29,,,,
1992,13,30,,,,
1992,14,30,,,,
1992,15,26,,,,
1992,16,30,,,,
1992,17,26,,,,
1992,18,22,,,,
1992,19,15,,,,
1992,20,,,,,
1992,21,0,,,,
1992,22,-6,,,,
1992,23,,,,,
