year,hour,obs,D1,D7,D30,D365
1976,0,70,,,,
1976,1,67,,,,
1976,2,,,,,
1976,3,60,,,,
1976,4,63,,,,
1976,5,,,,,
1976,6,,,,,
1976,7,,,,,
1976,8,,,,,
1976,9,80,,,,
1976,10,73,,,,
1976,11,,,,,
1976,12,60,,,,
1976,13,63,,,,
1976,14,,,,,
1976,15,70,,,,
1976,16,73,,,,
1976,17,,,,,
1976,18,80,,,,
1976,19,79,,,,
1976,20,,,,,
1976,21,,,,,
1976,22,,,,,
1976,23,,,,,
1977,0,50,,,,
1977,1,53,,,,
1977,2,,,,,
1977,3,60,,,,
1977,4,63,,,,
1977,5,,,,,
1977,6,70,,,,
1977,7,73,,,,
1977,8,,,,,
1977,9,80,,,,
1977,10,83,,,,
1977,11,,,,,
1977,12,90,,,,
1977,13,80,,,,
1977,14,,,,,
1977,15,60,,,,
1977,16,57,,,,
1977,17,,,,,
1977,18,50,,,,
1977,19,50,,,,
1977,20,,,,,
1977,21,50,,,,
1977,22,50,,,,
1977,23,,,,,
1978,0,50,,,,
1978,1,52,,,,
1978,2,,,,,
1978,3,,,,,
1978,4,,,,,
1978,5,,,,,
1978,6,60,,,,
1978,7,60,,,,
1978,8,,,,,
1978,9,60,,,,
1978,10,60,,,,
1978,11,,,,,
1978,12,60,,,,
1978,13,58,,,,
1978,14,,,,,
1978,15,,,,,
1978,16,,,,,
1978,17,,,,,
1978,18,50,,,,
1978,19,53,,,,
1978,20,,,,,
1978,21,60,,,,
1978,22,57,,,,
1978,23,,,,,
1979,0,50,,,,
1979,1,52,,,,
1979,2,,,,,
1979,3,,,,,
1979,4,,,,,
1979,5,,,,,
1979,6,60,,,,
1979,7,63,,,,
1979,8,,,,,
1979,9,70,,,,
1979,10,77,,,,
1979,11,,,,,
1979,12,90,,,,
1979,13,88,,,,
1979,14,,,,,
1979,15,,,,,
1979,16,,,,,
1979,17,,,,,
1979,18,,,,,
1979,19,,,,,
1979,20,,,,,
1979,21,70,,,,
1979,22,70,,,,
1979,23,,,,,
1980,0,10,,,,
1980,1,10,,,,
1980,2,,,,,
1980,3,10,,,,
1980,4,10,,,,
1980,5,,,,,
1980,6,10,,,,
1980,7,13,,,,
1980,8,,,,,
1980,9,20,,,,
1980,10,27,,,,
1980,11,,,,,
1980,12,40,,,,
1980,13,40,,,,
1980,14,,,,,
1980,15,,,,,
1980,16,,,,,
1980,17,,,,,
1980,18,40,,,,
1980,19,38,,,,
1980,20,,,,,
1980,21,,,,,
1980,22,,,,,
1980,23,,,,,
1981,0,60,,,,
1981,1,63,,,,
1981,2,,,,,
1981,3,70,,,,
1981,4,67,,,,
1981,5,,,,,
1981,6,60,,,,
1981,7,63,,,,
1981,8,,,,,
1981,9,70,,,,
1981,10,73,,,,
1981,11,,,,,
1981,12,80,,,,
1981,13,90,,,,
1981,14,,,,,
1981,15,110,,,,
1981,16,110,,,,
1981,17,,,,,
1981,18,110,,,,
1981,19,110,,,,
1981,20,,,,,
1981,21,110,,,,
1981,22,93,,,,
1981,23,,,,,
1982,0,50,,,,
1982,1,49,,,,
1982,2,,,,,
1982,3,47,,,,
1982,4,48,,,,
1982,5,,,,,
1982,6,50,,,,
1982,7,53,,,,
1982,8,,,,,
1982,9,58,,,,
1982,10,58,,,,
1982,11,,,,,
1982,12,58,,,,
1982,13,68,,,,
1982,14,,,,,
1982,15,87,,,,
1982,16,85,,,,
1982,17,,,,,
1982,18,82,,,,
1982,19,80,,,,
1982,20,,,,,
1982,21,75,,,,
1982,22,70,,,,
1982,23,,,,,
1983,0,37,,,,
1983,1,38,,,,
1983,2,,,,,
1983,3,40,,,,
1983,4,42,,,,
1983,5,,,,,
1983,6,45,,,,
1983,7,47,,,,
1983,8,,,,,
1983,9,50,,,,
1983,10,52,,,,
1983,11,,,,,
1983,12,55,,,,
1983,13,56,,,,
1983,14,,,,,
1983,15,57,,,,
1983,16,58,,,,
1983,17,,,,,
1983,18,60,,,,
1983,19,57,,,,
1983,20,,,,,
1983,21,,,,,
1983,22,,,,,
1983,23,,,,,
1984,0,55,,,,
1984,1,55,,,,
1984,2,,,,,
1984,3,55,,,,
1984,4,55,,,,
1984,5,,,,,
1984,6,55,,,,
1984,7,59,,,,
1984,8,,,,,
1984,9,66,,,,
1984,10,67,,,,
1984,11,,,,,
1984,12,68,,,,
1984,13,72,,,,
1984,14,,,,,
1984,15,81,,,,
1984,16,79,,,,
1984,17,,,,,
1984,18,75,,,,
1984,19,75,,,,
1984,20,,,,,
1984,21,74,,,,
1984,22,69,,,,
1984,23,,,,,
1985,0,44,,,,
1985,1,46,,,,
1985,2,,,,,
1985,3,50,,,,
1985,4,50,,,,
1985,5,50,,,,
1985,6,50,,,,
1985,7,50,,,,
1985,8,50,,,,
1985,9,53,,,,
1985,10,55,,,,
1985,11,,,,,
1985,12,61,,,,
1985,13,60,,,,
1985,14,60,,,,
1985,15,62,,,,
1985,16,60,,,,
1985,17,61,,,,
1985,18,62,,,,
1985,19,61,,,,
1985,20,,,,,
1985,21,59,,,,
1985,22,58,,,,
1985,23,,,,,
1986,0,63,,,,
1986,1,65,,,,
1986,2,,,,,
1986,3,68,,,,
1986,4,65,,,,
1986,5,68,,,,
1986,6,67,,,,
1986,7,60,,,,
1986,8,60,,,,
1986,9,59,,,,
1986,10,60,,,,
1986,11,60,,,,
1986,12,55,,,,
1986,13,50,,,,
1986,14,50,,,,
1986,15,49,,,,
1986,16,49,,,,
1986,17,,,,,
1986,18,48,,,,
1986,19,46,,,,
1986,20,,,,,
1986,21,,,,,
1986,22,,,,,
1986,23,,,,,
1987,0,37,,,,
1987,1,35,,,,
1987,2,,,,,
1987,3,32,,,,
1987,4,30,,,,
1987,5,35,,,,
1987,6,35,,,,
1987,7,35,,,,
1987,8,40,,,,
1987,9,40,,,,
1987,10,40,,,,
1987,11,40,,,,
1987,12,44,,,,
1987,13,43,,,,
1987,14,,,,,
1987,15,50,,,,
1987,16,,,,,
1987,17,50,,,,
1987,18,50,,,,
1987,19,55,,,,
1987,20,55,,,,
1987,21,51,,,,
1987,22,40,,,,
1987,23,40,,,,
1988,0,58,,,,
1988,1,60,,,,
1988,2,60,,,,
1988,3,60,,,,
1988,4,60,,,,
1988,5,60,,,,
1988,6,60,,,,
1988,7,60,,,,
1988,8,60,,,,
1988,9,62,,,,
1988,10,60,,,,
1988,11,60,,,,
1988,12,61,,,,
1988,13,55,,,,
1988,14,55,,,,
1988,15,60,,,,
1988,16,60,,,,
1988,17,60,,,,
1988,18,61,,,,
1988,19,60,,,,
1988,20,62,,,,
1988,21,63,,,,
1988,22,62,,,,
1988,23,,,,,
1989,0,,,,,
1989,1,,,,,
1989,2,,,,,
1989,3,82,,,,
1989,4,90,,,,
1989,5,90,,,,
1989,6,90,,,,
1989,7,90,,,,
1989,8,90,,,,
1989,9,100,,,,
1989,10,100,,,,
1989,11,100,,,,
1989,12,101,,,,
1989,13,90,,,,
1989,14,90,,,,
1989,15,110,,,,
1989,16,100,,,,
1989,17,80,,,,
1989,18,89,,,,
1989,19,83,,,,
1989,20,,,,,
1989,21,72,,,,
1989,22,65,,,,
1989,23,,,,,
1990,0,30,,,,
1990,1,33,,,,
1990,2,,,,,
1990,3,38,,,,
1990,4,40,,,,
1990,5,40,,,,
1990,6,38,,,,
1990,7,40,,,,
1990,8,40,,,,
1990,9,39,,,,
1990,10,40,,,,
1990,11,40,,,,
1990,12,41,,,,
1990,13,35,,,,
1990,14,35,,,,
1990,15,-34,,,,
1990,16,30,,,,
1990,17,30,,,,
1990,18,29,,,,
1990,19,30,,,,
1990,20,25,,,,
1990,21,20,,,,
1990,22,,,,,
1990,23,,,,,
1991,0,73,,,,
1991,1,73,,,,
1991,2,,,,,
1991,3,72,,,,
1991,4,70,,,,
1991,5,70,,,,
1991,6,74,,,,
1991,7,80,,,,
1991,8,75,,,,
1991,9,75,,,,
1991,10,80,,,,
1991,11,80,,,,
1991,12,75,,,,
1991,13,80,,,,
1991,14,80,,,,
1991,15,79,,,,
1991,16,80,,,,
1991,17,80,,,,
1991,18,80,,,,
1991,19,80,,,,
1991,20,,,,,
1991,21,77,,,,
1991,22,75,,,,
1991,23,70,,,,
1992,0,43,,,,
1992,1,40,,,,
1992,2,40,,,,
1992,3,40,,,,
1992,4,40,,,,
1992,5,40,,,,
1992,6,38,,,,
1992,7,42,,,,
1992,8,,,,,
1992,9,46,,,,
1992,10,50,,,,
1992,11,,,,,
1992,12,48,,,,
1992,13,45,,,,
1992,14,35,,,,
1992,15,34,,,,
1992,16,31,,,,
1992,17,,,,,
1992,18,34,,,,
1992,19,35,,,,
1992,20,,,,,
1992,21,36,,,,
1992,22,36,,,,
1992,23,,,,,
1993,0,56,,,,
1993,1,55,,,,
1993,2,,,,,
1993,3,54,,,,
1993,4,60,,,,
1993,5,62,,,,
1993,6,63,,,,
1993,7,70,,,,
1993,8,,,,,
1993,9,70,,,,
1993,10,75,,,,
1993,11,70,,,,
1993,12,59,,,,
1993,13,70,,,,
1993,14,67,,,,
1993,15,64,,,,
1993,16,75,,,,
1993,17,82,,,,
1993,18,83,,,,
1993,19,83,,,,
1993,20,,,,,
1993,21,82,,,,
1993,22,80,,,,
1993,23,,,,,
1994,0,19,,,,
1994,1,19,,,,
1994,2,,,,,
1994,3,19,,,,
1994,4,20,,,,
1994,5,20,,,,
1994,6,20,,,,
1994,7,20,,,,
1994,8,20,,,,
1994,9,20,,,,
1994,10,20,,,,
1994,11,20,,,,
1994,12,19,,,,
1994,13,18,,,,
1994,14,,,,,
1994,15,14,,,,
1994,16,10,,,,
1994,17,10,,,,
1994,18,10,,,,
1994,19,10,,,,
1994,20,7,,,,
1994,21,4,,,,
1994,22,0,,,,
1994,23,0,,,,
1995,0,57,,,,
1995,1,55,,,,
1995,2,,,,,
1995,3,51,,,,
1995,4,50,,,,
1995,5,50,,,,
1995,6,51,,,,
1995,7,50,,,,
1995,8,53,,,,
1995,9,56,,,,
1995,10,60,,,,
1995,11,58,,,,
1995,12,56,,,,
1995,13,60,,,,
1995,14,61,,,,
1995,15,62,,,,
1995,16,60,,,,
1995,17,61,,,,
1995,18,62,,,,
1995,19,59,,,,
1995,20,,,,,
1995,21,56,,,,
1995,22,55,,,,
1995,23,58,,,,
1996,0,69,61,,,
1996,1,74,63,,,
1996,2,,,,,
1996,3,81,,,,
1996,4,90,,,,
1996,5,100,,,,
1996,6,109,,,,
1996,7,129,,,,
1996,8,,,,,
1996,9,147,,,,
1996,10,105,,,,
1996,11,85,,,,
1996,12,80,,,,
1996,13,90,,,,
1996,14,85,,,,
1996,15,80,,,,
1996,16,75,,,,
1996,17,72,,,,
1996,18,73,,,,
1996,19,70,,,,
1996,20,69,,,,
1996,21,68,,,,
1996,22,70,,,,
1996,23,66,,,,
1997,0,53,56,,,
1997,1,50,56,,,
1997,2,50,56,,,
1997,3,50,55,,,
1997,4,50,55,,,
1997,5,52,55,,,
1997,6,55,55,,,
1997,7,50,55,,,
1997,8,49,54,,,
1997,9,48,54,,,
1997,10,45,54,,,
1997,11,44,53,,,
1997,12,39,52,,,
1997,13,39,52,,,
1997,14,,,,,
1997,15,37,,,,
1997,16,34,,,,
1997,17,31,,,,
1997,18,32,,,,
1997,19,30,,,,
1997,20,30,,,,
1997,21,29,,,,
1997,22,25,,,,
1997,23,23,,,,
1998,0,64,,,,
1998,1,60,,,,
1998,2,60,,,,
1998,3,61,,,,
1998,4,62,,,,
1998,5,,,,,
1998,6,65,,,,
1998,7,70,,,,
1998,8,70,,,,
1998,9,70,,,,
1998,10,70,,,,
1998,11,72,,,,
1998,12,74,,,,
1998,13,80,,,,
1998,14,83,,,,
1998,15,86,,,,
1998,16,90,,,,
1998,17,90,,,,
1998,18,89,,,,
1998,19,85,,,,
1998,20,80,,,,
1998,21,79,,,,
1998,22,75,,,,
1998,23,69,,,,
1999,0,72,56,,,
1999,1,70,58,,,
1999,2,70,60,,,
1999,3,69,62,,,
1999,4,70,64,,,
1999,5,70,65,,,
1999,6,71,67,,,
1999,7,70,68,,,
1999,8,73,69,,,
1999,9,76,69,,,
1999,10,80,70,,,
1999,11,79,71,,,
1999,12,78,71,,,
1999,13,85,72,,,
1999,14,84,72,,,
1999,15,79,73,,,
1999,16,75,73,,,
1999,17,74,73,,,
1999,18,77,74,,,
1999,19,70,74,,,
1999,20,60,73,,,
1999,21,59,73,,,
1999,22,50,72,,,
1999,23,48,71,,,
2000,0,62,71,,,
2000,1,60,71,,,
2000,2,60,70,,,
2000,3,58,70,,,
2000,4,60,69,,,
2000,5,60,69,,,
2000,6,57,68,,,
2000,7,60,68,,,
2000,8,60,67,,,
2000,9,60,67,,,
2000,10,65,67,,,
2000,11,70,66,,,
2000,12,65,66,,,
2000,13,65,65,,,
2000,14,60,65,,,
2000,15,64,64,,,
2000,16,70,64,,,
2000,17,65,63,,,
2000,18,64,63,,,
2000,19,70,63,,,
2000,20,70,63,,,
2000,21,65,63,,,
2000,22,68,63,,,
2000,23,70,64,,,
2001,0,126,,,,
2001,1,118,,,,
2001,2,105,,,,
2001,3,102,,,,
2001,4,85,,,,
2001,5,85,129,,,
2001,6,87,129,,,
2001,7,95,127,,,
2001,8,95,125,,,
2001,9,92,123,,,
2001,10,90,120,,,
2001,11,85,117,,,
2001,12,77,113,,,
2001,13,90,110,,,
2001,14,95,108,,,
2001,15,97,106,,,
2001,16,95,104,,,
2001,17,90,103,,,
2001,18,93,101,,,
2001,19,75,99,,,
2001,20,70,97,,,
2001,21,66,95,,,
2001,22,70,92,,,
2001,23,,,,,
2002,0,94,93,,,
2002,1,85,93,,,
2002,2,80,93,,,
2002,3,78,93,,,
2002,4,75,93,,,
2002,5,80,93,,,
2002,6,76,92,,,
2002,7,80,92,,,
2002,8,80,92,,,
2002,9,80,91,,,
2002,10,75,91,,,
2002,11,75,90,,,
2002,12,77,90,,,
2002,13,80,89,,,
2002,14,80,88,,,
2002,15,77,87,,,
2002,16,80,85,,,
2002,17,80,84,,,
2002,18,75,83,,,
2002,19,80,82,,,
2002,20,80,82,,,
2002,21,78,81,,,
2002,22,75,80,,,
2002,23,70,79,,,
2003,0,69,,,,
2003,1,80,,,,
2003,2,102,,,,
2003,3,82,,,,
2003,4,90,,,,
2003,5,90,,,,
2003,6,94,,,,
2003,7,90,,,,
2003,8,95,,,,
2003,9,97,,,,
2003,10,105,,,,
2003,11,105,77,,,
2003,12,102,78,,,
2003,13,105,80,,,
2003,14,115,82,,,
2003,15,113,85,,,
2003,16,115,87,,,
2003,17,120,89,,,
2003,18,125,92,,,
2003,19,120,95,,,
2003,20,125,97,,,
2003,21,126,100,,,
2003,22,110,102,,,
2003,23,115,104,,,
2004,0,65,,,,
2004,1,65,,,,
2004,2,60,,,,
2004,3,59,,,,
2004,4,60,,,,
2004,5,60,,,,
2004,6,63,,,,
2004,7,70,,,,
2004,8,70,,,,
2004,9,71,,,,
2004,10,70,,,,
2004,11,70,,,,
2004,12,69,,,,
2004,13,69,,,,
2004,14,,,,,
2004,15,68,,,,
2004,16,70,,,,
2004,17,65,,,,
2004,18,61,,,,
2004,19,60,,,,
2004,20,60,,,,
2004,21,58,,,,
2004,22,60,,,,
2004,23,58,,,,
2005,0,61,64,,69,-37
2005,1,61,65,,69,-37
2005,2,61,65,,69,-37
2005,3,62,65,,69,-37
2005,4,63,65,,69,-37
2005,5,67,65,,69,-37
2005,6,63,65,,69,-37
2005,7,63,65,,69,-37
2005,8,64,65,,69,-37
2005,9,65,65,,69,-37
2005,10,65,65,,69,-37
2005,11,65,64,,69,-37
2005,12,67,64,,69,-37
2005,13,65,64,,69,-37
2005,14,67,64,,69,-37
2005,15,66,64,,69,-37
2005,16,66,64,,68,-37
2005,17,65,64,,68,-37
2005,18,62,64,,68,-37
2005,19,61,63,,68,-37
2005,20,61,63,,68,-37
2005,21,60,63,,68,-37
2005,22,60,63,,68,-37
2005,23,58,63,,68,-37
2006,0,64,71,79,76,
2006,1,63,71,79,76,
2006,2,58,71,79,76,
2006,3,58,70,79,76,
2006,4,57,70,79,76,
2006,5,58,70,79,76,
2006,6,62,69,79,76,
2006,7,64,69,79,76,
2006,8,68,69,79,76,
2006,9,70,69,79,76,
2006,10,76,69,79,76,
2006,11,68,69,79,75,
2006,12,75,68,79,75,
2006,13,78,68,79,75,
2006,14,82,68,79,75,
2006,15,78,68,79,75,
2006,16,74,68,79,75,
2006,17,74,68,79,75,
2006,18,76,68,79,75,
2006,19,73,68,79,75,
2006,20,79,69,79,75,
2006,21,68,69,79,75,
2006,22,72,69,79,75,
2006,23,65,69,79,75,
2007,0,83,91,101,89,-24
2007,1,81,91,101,89,-24
2007,2,80,91,100,89,-24
2007,3,78,91,100,89,-24
2007,4,79,91,100,89,-24
2007,5,83,91,100,89,-24
2007,6,87,90,100,89,-24
2007,7,88,90,99,89,-24
2007,8,95,89,99,89,-24
2007,9,101,89,99,89,-24
2007,10,99,90,99,89,-24
2007,11,98,90,99,89,-24
2007,12,99,90,98,89,-24
2007,13,93,90,98,89,-24
2007,14,89,90,98,89,-24
2007,15,86,89,98,89,-24
2007,16,85,89,97,88,-24
2007,17,85,89,97,88,-24
2007,18,84,89,97,88,-24
2007,19,83,88,97,88,-24
2007,20,83,88,97,88,-24
2007,21,80,87,96,88,-24
2007,22,79,87,96,88,-24
2007,23,79,87,96,88,-24
2008,0,8,37,47,62,-36
2008,1,5,35,47,62,-36
2008,2,1,34,47,62,-36
2008,3,2,32,47,62,-36
2008,4,4,30,47,62,-37
2008,5,5,29,46,62,-37
2008,6,9,28,46,62,-37
2008,7,15,26,46,61,-37
2008,8,23,25,46,61,-37
2008,9,28,25,46,61,-37
2008,10,30,24,46,61,-37
2008,11,35,24,46,61,-37
2008,12,41,24,46,61,-37
2008,13,43,23,46,61,-37
2008,14,44,24,46,61,-37
2008,15,49,24,46,61,-37
2008,16,44,24,46,61,-37
2008,17,44,24,46,62,-37
2008,18,43,25,46,62,-37
2008,19,44,25,46,62,-37
2008,20,44,26,46,62,-37
2008,21,44,27,47,62,-37
2008,22,44,28,47,62,-37
2008,23,43,29,47,62,-37
2009,0,70,79,,81,-45
2009,1,70,79,,81,-45
2009,2,67,79,,81,-45
2009,3,70,78,,81,-45
2009,4,71,78,,81,-45
2009,5,70,78,,81,-45
2009,6,73,78,,81,-45
2009,7,75,78,,81,-45
2009,8,77,77,,81,-45
2009,9,78,78,,81,-45
2009,10,83,78,,81,-45
2009,11,76,77,,81,-45
2009,12,78,77,,81,-45
2009,13,86,77,,81,-45
2009,14,82,76,76,81,-45
2009,15,86,76,76,81,-45
2009,16,83,76,76,81,-45
2009,17,79,76,76,81,-45
2009,18,77,76,76,81,-45
2009,19,79,76,76,81,-45
2009,20,78,76,76,81,-45
2009,21,76,76,76,81,-45
2009,22,78,76,76,81,-45
2009,23,76,77,76,81,-45
2010,0,43,59,60,64,-28
2010,1,35,59,60,64,-28
2010,2,32,58,60,64,-28
2010,3,30,58,60,64,-28
2010,4,27,58,60,64,-28
2010,5,26,57,60,64,-28
2010,6,30,56,59,64,-28
2010,7,30,56,59,63,-28
2010,8,39,55,59,63,-28
2010,9,38,55,59,63,-28
2010,10,37,54,59,63,-28
2010,11,39,53,59,63,-28
2010,12,49,52,59,63,-28
2010,13,55,52,59,63,-28
2010,14,59,52,59,63,-28
2010,15,66,50,59,63,-28
2010,16,62,49,59,63,-28
2010,17,58,48,59,63,-28
2010,18,53,46,59,63,-28
2010,19,49,45,59,63,-28
2010,20,39,44,59,63,-28
2010,21,39,43,59,63,-28
2010,22,39,42,59,63,-28
2010,23,39,42,59,63,-28
2011,0,52,81,73,69,-45
2011,1,53,80,73,69,-45
2011,2,52,79,73,69,-45
2011,3,50,77,73,69,-45
2011,4,48,76,73,69,-45
2011,5,47,74,73,69,-45
2011,6,44,73,73,69,-45
2011,7,45,71,73,69,-45
2011,8,50,69,73,69,-45
2011,9,54,68,73,69,-45
2011,10,56,67,72,69,-45
2011,11,54,66,72,69,-45
2011,12,58,64,72,69,-45
2011,13,57,63,72,69,-45
2011,14,58,61,72,69,-45
2011,15,57,60,72,69,-45
2011,16,61,58,72,69,-45
2011,17,64,57,72,69,-45
2011,18,61,56,72,69,-45
2011,19,60,56,72,69,-45
2011,20,55,55,72,69,-45
2011,21,46,54,71,69,-45
2011,22,48,54,71,69,-45
2011,23,46,53,71,69,-45
2012,0,77,88,64,67,-16
2012,1,78,88,64,67,-16
2012,2,80,89,64,67,-16
2012,3,87,89,64,67,-16
2012,4,90,89,65,67,-16
2012,5,83,89,65,67,-16
2012,6,89,90,65,67,-16
2012,7,90,90,65,67,-16
2012,8,95,90,65,68,-16
2012,9,100,91,66,68,-16
2012,10,96,92,66,68,-16
