YHM,temp
19730000,+0178
19730100,+0183
19730200,+0161
19730300,+0156
19730400,+0150
19730500,+0133
19730600,+0139
19730700,+0133
19730800,+0116
19730900,+0117
19731000,+0111
19731100,+0111
19731200,+0111
19731300,+0116
19731500,+0117
19731600,+0133
19731700,+0138
19731800,+0156
19731900,+0150
19732000,+0155
19732100,+0156
19732200,+0155
19732300,+0150
19740000,+0189
19740100,+0178
19740200,+0167
19740300,+0150
19740400,+0133
19740500,+0128
19740600,+0122
19740625,+0117
19740700,+0117
19740800,+0111
19740900,+0106
19741000,+0106
19741100,+0106
19741200,+0139
19741300,+0106
19741400,+0111
19741500,+0122
19741600,+0139
19741700,+0156
19741800,+0178
19741900,+0200
19742000,+0228
19742100,+0189
19742200,+0178
19742300,+0183
19750000,+0200
19750100,+0183
19750200,+0167
19750300,+0150
19750400,+0144
19750500,+0128
19750600,+0122
19750700,+0117
19750800,+0117
19750900,+0117
19751000,+0122
19751100,+0111
19751200,+0106
19751300,+0117
19751400,+0122
19751500,+0167
19751600,+0183
19751700,+0206
19751800,+0233
19751900,+0256
19752000,+0272
19752100,+0283
19752200,+0283
19752300,+0256
19760000,+0156
19760100,+0150
19760300,+0128
19760400,+0122
19760500,+0117
19760600,+0111
19760700,+0111
19760800,+0106
19760900,+0106
19761000,+0106
19761100,+0106
19761200,+0106
19761300,+0100
19761400,+0100
19761500,+0111
19761600,+0139
19761700,+0156
19761800,+0172
19761900,+0183
19762000,+0183
19762100,+0189
19762200,+0178
19762300,+0178
19770000,+0156
19770100,+0150
19770200,+0144
19770300,+0128
19770400,+0128
19770500,+0122
19770600,+0122
19770700,+0122
19770800,+0117
19770900,+0111
19771000,+0106
19771100,+0100
19771200,+0100
19771222,+0111
19771300,+0111
19771400,+0122
19771500,+0128
19771600,+0133
19771700,+0144
19771800,+0156
19771900,+0167
19772000,+0183
19772100,+0183
19772200,+0183
19772300,+0167
19780000,+0150
19780100,+0139
19780200,+0128
19780300,+0117
19780400,+0106
19780500,+0106
19780600,+0100
19780700,+0100
19780800,+0100
19780900,+0094
19781000,+0094
19781100,+0089
19781200,+0089
19781300,+0089
19781400,+0100
19781500,+0111
19781600,+0122
19781700,+0139
19781800,+0150
19781900,+0161
19782000,+0167
19782100,+0167
19782200,+0161
19790000,+0189
19790100,+0206
19790200,+0172
19790300,+0150
19790400,+0139
19790500,+0133
19790600,+0133
19790700,+0133
19790800,+0128
19790900,+0128
19791000,+0122
19791100,+0117
19791200,+0117
19791300,+0117
19791400,+0122
19791500,+0144
19791600,+0167
19791700,+0183
19791800,+0206
19791900,+0217
19792000,+0228
19792100,+0228
19792200,+0222
19792300,+0200
19800000,+0139
19800200,+0128
19800300,+0111
19800400,+0111
19800500,+0100
19800600,+0100
19800800,+0094
19800900,+0094
19801000,+0089
19801100,+0089
19801200,+0089
19801300,+0083
19801400,+0089
19801500,+0122
19801600,+0133
19801700,+0150
19801800,+0161
19801900,+0178
19802000,+0172
19802100,+0172
19802200,+0167
19802300,+0156
19810000,+0178
19810100,+0172
19810200,+0167
19810300,+0156
19810400,+0156
19810500,+0150
19810600,+0144
19810700,+0139
19810800,+0144
19810900,+0144
19811000,+0144
19811100,+0139
19811200,+0144
19811300,+0139
19811400,+0144
19811500,+0150
19811600,+0161
19811700,+0167
19811800,+0189
19812000,+0206
19812100,+0189
19812200,+0194
19812300,+0211
19820000,+0233
19820100,+0211
19820200,+0183
19820300,+0167
19820400,+0167
19820500,+0183
19820600,+0161
19820700,+0150
19820800,+0139
19820900,+0139
19821000,+0122
19821100,+0122
19821200,+0117
19821300,+0117
19821400,+0128
19821500,+0156
19821600,+0167
19821700,+0183
19821800,+0189
19821900,+0200
19822000,+0194
19822100,+0222
19822200,+0228
19822300,+0211
19830000,+0161
19830100,+0156
19830200,+0150
19830300,+0139
19830400,+0128
19830500,+0122
19830600,+0122
19830700,+0122
19830800,+0122
19830900,+0122
19831000,+0122
19831100,+0122
19831200,+0122
19831300,+0122
19831400,+0122
19831500,+0122
19831600,+0122
19831700,+0139
19831800,+0150
19831900,+0156
19832000,+0167
19832100,+0167
19832200,+0167
19832300,+0161
19840000,+0161
19840100,+0156
19840200,+0144
19840300,+0133
19840400,+0128
19840500,+0117
19840600,+0122
19840700,+0117
19840800,+0117
19840900,+0117
19841000,+0117
19841100,+0122
19841200,+0122
19841300,+0122
19841400,+0133
19841500,+0150
19841600,+0178
19841700,+0200
19841800,+0222
19841900,+0228
19842000,+0233
19842100,+0233
19842200,+0233
19842300,+0228
19850000,+0167
19850100,+0161
19850200,+0150
19850300,+0139
19850400,+0128
19850500,+0128
19850600,+0128
19850700,+0128
19850800,+0122
19850900,+0128
19851000,+0122
19851100,+0122
19851200,+0122
19851300,+0122
19851400,+0117
19851500,+0117
19851600,+0117
19851700,+0133
19851800,+0139
19851900,+0156
19852000,+0156
19852100,+0161
19852200,+0144
19852300,+0144
19860000,+0206
19860100,+0206
19860200,+0183
19860300,+0150
19860400,+0144
19860500,+0139
19860600,+0139
19860700,+0139
19860800,+0144
19860900,+0128
19861000,+0122
19861100,+0122
19861200,+0122
19861300,+0117
19861400,+0122
19861500,+0128
19861600,+0150
19861700,+0161
19861800,+0178
19861900,+0206
19862000,+0206
19862100,+0200
19862200,+0194
19862300,+0206
19870000,+0144
19870100,+0150
