YHM,temp
19570000,-0398
19570300,-0392
19570600,-0403
19570900,-0403
19571200,-0409
19571500,-0409
19571800,-0425
19572100,-0431
19580000,-0370
19580100,-0353
19580200,-0375
19580300,-0375
19580400,-0381
19580500,-0386
19580600,-0398
19580700,-0398
19580800,-0381
19580900,-0370
19581000,-0348
19581100,-0320
19581200,-0309
19581300,-0303
19581400,-0303
19581500,-0314
19581600,-0309
19581700,-0325
19581800,-0337
19581900,-0309
19582000,-0309
19582100,-0325
19582200,-0331
19582300,-0342
19590000,-0353
19590100,-0370
19590200,-0364
19590300,-0359
19590400,-0381
19590500,-0375
19590600,-0386
19590700,-0386
19590800,-0392
19590900,-0392
19591000,-0392
19591100,-0392
19591200,-0398
19591300,-0398
19591400,-0398
19591500,-0398
19591600,-0403
19591700,-0409
19591800,-0409
19591900,-0403
19592000,-0398
19592100,-0398
19592200,-0386
19592300,-0381
19600000,-0420
19600100,-0403
19600200,-0403
19600300,-0398
19600400,-0386
19600500,-0386
19600600,-0392
19600700,-0392
19600800,-0392
19600900,-0398
19601000,-0398
19601100,-0420
19601200,-0436
19601300,-0448
19601400,-0442
19601500,-0453
19601600,-0436
19601700,-0425
19601800,-0420
19601900,-0414
19602000,-0414
19602100,-0420
19602200,-0420
19602300,-0425
19610000,-0400
19610100,-0383
19610200,-0394
19610300,-0422
19610400,-0406
19610500,-0428
19610600,-0428
19610700,-0417
19610800,-0428
19610900,-0433
19611000,-0428
19611100,-0417
19611200,-0389
19611300,-0394
19611400,-0383
19611500,-0378
19611600,-0372
19611700,-0356
19611800,-0389
19611900,-0400
19612000,-0417
19612100,-0422
19612200,-0417
19612300,-0417
19620000,-0403
19620300,-0403
19620600,-0409
19620900,-0403
19621200,-0420
19621500,-0420
19621800,-0414
19622100,-0403
19630000,-0431
19630300,-0425
19630600,-0431
19630900,-0448
19631200,-0470
19631500,-0470
19631800,-0459
19632100,-0481
19640000,-0448
19640300,-0433
19640600,-0414
19640900,-0398
19641200,-0398
19641500,-0420
19641800,-0459
19642100,-0442
19650000,-0442
19650300,-0411
19650600,-0420
19650900,-0433
19651200,-0436
19651500,-0456
19651800,-0436
19652100,-0444
19660000,-0464
19660600,-0475
19661200,-0448
19661800,-0431
19670000,-0470
19670300,-0470
19670600,-0470
19670900,-0470
19671200,-0470
19671500,-0459
19671800,-0459
19672100,-0470
19680000,-0448
19680600,-0453
19681200,-0470
19681800,-0475
19690000,-0392
19690600,-0403
19691200,-0370
19691800,-0353
19700000,-0436
19700300,-0442
19700600,-0442
19700900,-0442
19701200,-0459
19701500,-0459
19701800,-0464
19702100,-0464
19710000,-0353
19710600,-0364
19711200,-0364
19711800,-0375
19720000,-0370
19720600,-0381
19721200,-0353
19721800,-0331
19730000,-0492
19730100,-0492
19730200,-0492
19730300,-0492
19730400,-0486
19730500,-0497
19730600,-0486
19730700,-0492
19730800,-0486
19730900,-0486
19731000,-0481
19731100,-0492
19731200,-0486
19731300,-0481
19731400,-0481
19731500,-0481
19731600,-0481
19731700,-0486
19731800,-0492
19731900,-0492
19732000,-0492
19732100,-0497
19732200,-0492
19732300,-0492
19740000,-0481
19740600,-0492
19741200,-0492
19741800,-0470
19750000,-0414
19750600,-0425
19751200,-0431
19751800,-0448
19760000,-0436
19760600,-0431
19761200,-0431
19761800,-0436
19770000,-0364
19770300,-0372
19770600,-0381
19770900,-0378
19771200,-0375
19771500,-0378
19771800,-0392
19772100,-0411
19780000,-0383
19780300,-0378
19780600,-0361
19780900,-0400
19781200,-0411
19781500,-0400
19781800,-0406
19782100,-0428
19790000,-0460
19790600,-0470
19791200,-0490
19791800,-0500
19800000,-0460
19800600,-0406
19801200,-0420
19801800,-0430
19810000,-0400
19810600,-0390
19811200,-0289
19811800,-0311
19820000,-0339
19820600,-0411
19821200,-0394
19821800,-0422
19830000,-0450
19830300,-0467
19830600,-0467
19830900,-0478
19831200,-0478
19831500,-0489
19831800,-0500
19832100,-0500
19840000,-0478
19840300,-0472
19840600,-0472
19840900,-0477
19841200,-0455
19841500,-0427
19841800,-0427
19842100,-0433
19850000,-0428
19850300,-0427
19850600,-0416
19850900,-0411
19851200,-0416
19851500,-0455
19851800,-0455
19852100,-0427
19860000,-0372
19860300,-0311
19860600,-0322
19860900,-0361
19861200,-0355
19861500,-0333
19861800,-0305
19862100,-0277
19870600,-0446
19871800,-0465
19880000,-0507
19881200,-0512
19881800,-0521
19890000,-0491
19891200,-0450
19900600,-0465
19901800,-0477
19910000,-0291
19910600,-0257
19920000,-0451
19920600,-0464
19921200,-0486
19921800,-0493
19931800,-0509
19950600,-0393
19951200,-0375
19960000,-0483
19960600,-0507
19970000,-0511
19971200,-0502
19980000,-0421
19980600,-0380
19981200,-0365
19981800,-0382
19990000,-0481
19990600,-0481
19991800,-0462
20050000,-0460
20050550,-0460
20050600,-0465
20051150,-0460
20051200,-0459
20051750,-0460
20051800,-0457
20052350,-0460
20060050,-0460
20060150,-0460
20060550,-0440
20061150,-0440
20061750,-0450
20062350,-0460
20070000,-0499
20070550,-0510
20070600,-0508
20071150,-0510
20071200,-0509
20071750,-0480
20071800,-0483
20072350,-0470
20080000,-0404
20080550,-0360
20080600,-0358
20081150,-0340
20081200,-0337
20081750,-0300
20081800,-0300
20082350,-0300
20090000,-0462
20090550,-0440
20090600,-0438
20091150,-0420
20091200,-0421
20091750,-0480
20091800,-0478
20092350,-0460
20100000,-0398
20100550,-0400
20100600,-0397
20101150,-0380
20101200,-0381
20101750,-0380
20101800,-0380
20102350,-0380
20110000,-0422
20110350,-0410
20110450,-0420
20110550,-0420
20110600,-0418
20110650,-0420
20110750,-0420
20110850,-0430
20110950,-0430
20111050,-0440
20111150,-0440
20111200,-0441
20111750,-0420
20111800,-0425
20112350,-0430
20120000,-0453
20120550,-0460
20120600,-0461
20121150,-0460
20121200,-0465
20121750,-0460
20121800,-0464
20122350,-0470
20140000,-0456
20140550,-0460
20140600,-0460
20141150,-0440
20141200,-0444
20141750,-0450
20141800,-0455
20142350,-0460
20150000,-0378
20150550,-0350
20150600,-0353
20151750,-0360
20151800,-0365
20152350,-0380
20160000,-0490
20160550,-0460
20160600,-0461
20161150,-0430
20161200,-0427
20161750,-0420
20161800,-0423
20162350,-0430
20170000,-0423
20170550,-0440
20170600,-0443
20171150,-0440
20171200,-0442
20171750,-0430
20171800,-0430
20172350,-0410
20180000,-0467
20180050,-0470
20180150,-0470
20180250,-0470
20180350,-0470
20180450,-0480
20180550,-0480
20180600,-0478
20180650,-0480
20181150,-0470
20181200,-0473
20181750,-0480
20181800,-0480
20182350,-0480
20190000,-0387
20190550,-0400
20190600,-0396
20191150,-0420
20191200,-0424
20191750,-0380
20191800,-0383
20200000,-0455
20200550,-0440
20200600,-0440
20201150,-0400
20201200,-0414
20201750,-0410
20201800,-0401
20202350,-0400
20211750,-0500
20211800,-0497
20212350,-0490
20220000,-0461
20220050,-0440
20220134,-0440
20220134,-0440
20220150,-0440
20220250,-0440
20220550,-0450
20220600,-0447
20221150,-0480
20221200,-0483
20221750,-0480
20221800,-0484
20222350,-0480
20230000,-0456
20230050,-0470
20230150,-0470
20230250,-0480
20230350,-0480
20230550,-0420
20230600,-0424
20231150,-0440
20231200,-0443
20231750,-0470
20231800,-0472
20232150,-0490
20232250,-0500
20232350,-0500
