YHM,temp
19441300,+0013
19441400,+0019
19441500,+0013
19441600,+0013
19441700,+0013
19441800,+0019
19441900,+0019
19442000,+0019
19442100,+0024
19442200,+0024
19442300,+0024
19450000,+0128
19450100,+0128
19450200,+0128
19450300,+0100
19450400,+0106
19450500,+0094
19450600,+0094
19450700,+0094
19450800,+0089
19450900,+0083
19451000,+0072
19451100,+0067
19451200,+0061
19451300,+0067
19451400,+0078
19451500,+0078
19451600,+0072
19451700,+0078
19451800,+0083
19451900,+0083
19452000,+0083
19452100,+0083
19452200,+0078
19452300,+0061
19460000,+0056
19460100,+0050
19460200,+0050
19460300,+0050
19460400,+0050
19460500,+0050
19460600,+0050
19460700,+0044
19460800,+0039
19460900,+0033
19461000,+0028
19461100,+0028
19461200,+0033
19461300,+0050
19461400,+0067
19461500,+0078
19461600,+0078
19461700,+0078
19461800,+0106
19461900,+0089
19462000,+0078
19462100,+0078
19462200,+0067
19462300,+0067
19470000,+0072
19470100,+0067
19470200,+0067
19470300,+0056
19470400,+0039
19470500,+0033
19470600,+0022
19470700,+0017
19470800,+0006
19470900,+0000
19471000,-0011
19471100,-0017
19471200,-0017
19471300,-0006
19471400,+0011
19471500,+0022
19471600,+0039
19471700,+0044
19471800,+0044
19471900,+0056
19472000,+0061
19472100,+0061
19472200,+0050
19472300,+0039
19480000,+0083
19480100,+0083
19480200,+0083
19480300,+0089
19480400,+0094
19480500,+0089
19480600,+0083
19480700,+0089
19480800,+0094
19480900,+0089
19481000,+0094
19481100,+0094
19481200,+0094
19481300,+0106
19481400,+0111
19481500,+0122
19481600,+0122
19481700,+0128
19481800,+0128
19481900,+0128
19482000,+0144
19482100,+0139
19482200,+0139
19482300,+0133
19490000,+0011
19490100,+0000
19490200,-0006
19490300,-0017
19490400,-0028
19490500,-0039
19490600,-0050
19490700,-0056
19490800,-0061
19490900,-0067
19491000,-0067
19491100,-0067
19491200,-0067
19491300,-0056
19491400,-0044
19491500,-0033
19491600,-0017
19491700,+0000
19491800,+0000
19491900,+0011
19492000,+0017
19492100,+0017
19492200,+0000
19492300,+0000
19500000,+0000
19500100,-0006
19500200,-0011
19500300,-0017
19500400,-0017
19500500,-0022
19500600,-0028
19500700,-0033
19500800,-0039
19500900,-0044
19501000,-0050
19501100,-0050
19501200,-0044
19501300,-0028
19501400,-0011
19501500,-0011
19501600,+0000
19501700,+0006
19501800,+0011
19501900,+0017
19502000,+0028
19502100,+0011
19502200,+0000
19502300,-0006
19510000,+0050
19510100,+0050
19510200,+0044
19510300,+0044
19510400,+0039
19510500,+0033
19510600,+0033
19510700,+0028
19510800,+0028
19510900,+0033
19511000,+0033
19511100,+0033
19511200,+0039
19511300,+0056
19511400,+0067
19511500,+0078
19511600,+0089
19511700,+0094
19511800,+0094
19511900,+0100
19512000,+0094
19512100,+0089
19512200,+0089
19512300,+0083
19520000,-0006
19520100,-0017
19520200,-0022
19520300,-0028
19520400,-0033
19520500,-0039
19520600,-0039
19520700,-0039
19520800,-0044
19520900,-0050
19521000,-0050
19521100,-0056
19521200,-0050
19521300,-0050
19521400,-0039
19521500,-0033
19521600,-0028
19521700,-0022
19521800,-0022
19521900,-0017
19522000,-0022
19522100,-0028
19522200,-0033
19522300,-0039
19530000,+0044
19530100,+0044
19530200,+0050
19530300,+0050
19530400,+0056
19530500,+0056
19530600,+0056
19530700,+0050
19530800,+0056
19530900,+0067
19531000,+0067
19531100,+0061
19531200,+0067
19531300,+0061
19531400,+0056
19531500,+0061
19531600,+0067
19531700,+0089
19531800,+0094
19531900,+0106
19532000,+0106
19532100,+0106
19532200,+0100
19532300,+0094
19540000,+0000
19540100,-0011
19540200,-0017
19540300,-0022
19540400,-0028
19540500,-0033
19540600,-0033
19540700,-0033
19540800,-0039
19540900,-0039
19541000,-0039
19541100,-0039
19541200,-0033
19541300,-0022
19541400,-0011
19541500,+0000
19541600,+0011
19541700,+0022
19541800,+0039
19541900,+0044
19542000,+0044
19542100,+0044
19542200,+0033
19542300,+0028
19550000,+0056
19550100,+0056
19550200,+0061
19550300,+0067
19550400,+0078
19550500,+0089
19550600,+0089
19550700,+0089
19550800,+0100
19550900,+0106
19551000,+0106
19551100,+0106
19551200,+0111
19551300,+0117
19551400,+0122
19551500,+0122
19551600,+0117
19551700,+0106
19551800,+0106
19551900,+0072
19552000,+0067
19552100,+0067
19552200,+0083
19552300,+0100
19560000,+0006
19560100,-0011
19560200,-0022
19560300,-0028
19560400,-0039
19560500,-0039
19560600,-0050
19560700,-0050
19560800,-0050
19560900,-0056
19561000,-0061
19561100,-0056
19561200,-0028
19561300,-0022
19561400,-0017
19561500,-0017
19561600,-0011
19561700,-0022
19561800,-0028
19561900,-0028
19562000,-0017
19562100,-0017
19562200,-0028
19562300,-0033
19570000,+0044
19570100,+0039
19570200,+0039
19570300,+0039
19570400,+0039
19570500,+0039
19570600,+0033
19570700,+0033
19570800,+0033
19570900,+0033
19571000,+0033
19571100,+0039
19571200,+0039
19571300,+0039
19571400,+0044
19571500,+0050
19571600,+0056
19571700,+0067
19571800,+0067
19571900,+0061
19572000,+0078
19572100,+0083
19572200,+0072
19572300,+0056
19580000,+0017
19580100,+0017
19580200,+0017
19580300,+0017
19580400,+0011
19580500,+0011
19580600,+0011
19580700,+0011
19580800,+0011
19580900,+0011
19581000,+0006
19581100,+0000
19581200,+0000
19581300,+0006
19581400,+0006
19581500,+0011
19581600,+0017
19581700,+0022
19581800,+0017
19581900,+0022
19582000,+0022
19582100,+0017
19582200,+0022
19582300,+0017
19590000,+0028
19590100,+0033
19590200,+0033
19590300,+0039
19590400,+0061
19590500,+0083
19590600,+0094
19590700,+0061
19590800,+0044
19590900,+0039
19591000,+0050
19591100,+0056
19591200,+0050
19591300,+0061
19591400,+0061
19591500,+0067
19591600,+0072
19591700,+0078
19591800,+0078
19591900,+0083
19592000,+0089
19592100,+0083
19592200,+0078
19592300,+0061
19600000,+0006
19600100,+0000
19600200,+0000
19600300,+0000
19600400,-0006
19600500,-0011
19600600,-0017
19600700,-0022
19600800,-0022
19600900,-0033
19601000,-0028
19601100,-0033
19601200,-0028
19601300,-0006
19601400,+0006
19601500,+0017
19601600,+0017
19601700,+0017
19601800,+0028
19601900,+0033
19602000,+0044
19602100,+0028
19602200,+0017
19602300,+0017
19610000,+0044
19610100,+0039
19610200,+0033
19610300,+0039
19610400,+0039
19610500,+0033
19610600,+0033
19610700,+0028
19610800,+0022
19610900,+0022
19611000,+0017
19611100,+0017
19611200,+0017
19611300,+0022
19611400,+0033
19611500,+0039
19611600,+0050
19611700,+0056
19611800,+0056
19611900,+0061
19612000,+0044
19612100,+0044
19612200,+0022
19612300,+0022
19620000,+0061
19620100,+0056
19620200,+0044
19620300,+0044
19620400,+0039
19620500,+0039
19620600,+0039
19620700,+0033
19620800,+0028
19620900,+0022
19621000,+0022
19621100,+0017
19621200,+0022
19621300,+0039
19621400,+0056
19621500,+0067
19621600,+0078
19621700,+0083
19621800,+0100
19621900,+0100
19622000,+0106
19622100,+0094
19622200,+0089
19622300,+0083
19630000,+0033
19630100,+0028
19630200,+0022
19630300,+0017
19630400,+0006
19630500,+0000
19630600,-0011
19630700,-0017
19630800,-0022
19630900,-0028
19631000,-0033
19631100,-0039
19631200,-0033
19631300,-0022
19631400,-0006
19631500,+0006
19631600,+0017
19631700,+0028
19631800,+0022
19631900,+0028
19632000,+0028
19632100,+0028
19632200,+0028
19632300,+0017
19640000,+0067
19640100,+0056
19640200,+0050
19640300,+0044
19640400,+0039
19640500,+0039
19640600,+0039
19640700,+0033
19640800,+0028
19640900,+0028
19641000,+0028
19641100,+0022
19641200,+0022
19641300,+0022
19641400,+0028
19641500,+0044
19641600,+0050
19641700,+0050
19641800,+0061
19641900,+0056
19642000,+0056
19642100,+0056
19642200,+0044
19642300,+0039
19650000,+0044
19650300,+0017
19650600,+0000
19650900,-0011
19651200,-0006
19651500,+0033
19651800,+0061
19652100,+0056
19660000,+0017
19660300,-0011
19660600,-0028
19660900,-0039
19661200,-0033
19661500,+0017
19661800,+0072
19662100,+0089
19670000,-0006
19670300,-0011
19670600,-0022
19670900,-0033
19671200,-0028
19671500,-0006
19671800,+0000
19672100,+0000
19680000,+0022
19680300,+0017
19680600,+0028
19680900,+0022
19681200,+0039
19681500,+0072
19681800,+0111
19682100,+0100
19690000,+0044
19690100,+0044
19690200,+0039
19690300,+0033
19690400,+0022
19690500,+0017
19690600,+0011
19690700,+0006
19690800,+0006
19690900,+0006
19691000,+0006
19691100,+0000
19691200,+0011
19691300,+0017
19691400,+0028
19691500,+0033
19691600,+0033
19691700,+0044
19691800,+0044
19691900,+0050
19692000,+0050
19692100,+0056
19692200,+0050
19692300,+0044
19700000,+0028
19700100,+0022
19700200,+0022
19700300,+0017
19700400,+0011
19700500,+0006
19700600,+0000
19700700,+0000
19700800,-0011
19700900,-0011
19701000,-0017
19701100,-0022
19701200,-0017
19701300,-0006
19701400,+0000
19701500,+0017
19701600,+0017
19701700,+0017
19701800,+0028
19701900,+0033
19702000,+0039
19702100,+0033
19702200,+0033
19702300,+0028
19710000,+0144
19710100,+0139
19710200,+0128
19710300,+0122
19710400,+0117
19710500,+0111
19710600,+0117
19710700,+0100
19710800,+0083
19710900,+0072
19711000,+0056
19711100,+0056
19711200,+0072
19711300,+0094
19711400,+0106
19711500,+0128
19711600,+0150
19711700,+0156
19711800,+0161
19711900,+0178
19712000,+0172
19712100,+0167
19712200,+0156
19712300,+0133
19720000,+0011
19720100,+0006
19720200,+0000
19720300,+0000
19720400,+0006
19720500,+0006
19720600,+0006
19720700,+0006
19720800,+0006
19720900,+0006
19721000,+0006
19721100,+0011
19721200,+0017
19721300,+0022
19721400,+0022
19721500,+0028
19721600,+0033
19721700,+0044
19721800,+0039
19721900,+0044
19722000,+0044
19722100,+0033
19722200,+0039
19722300,+0039
19730000,+0056
19730100,+0056
19730200,+0056
19730300,+0061
19730400,+0061
19730500,+0067
19730600,+0067
19730700,+0067
19730800,+0067
19730900,+0089
19731000,+0094
19731100,+0094
19731200,+0111
19731300,+0117
19731400,+0133
19731500,+0144
19731600,+0150
19731700,+0150
19731800,+0156
19731900,+0161
19732000,+0172
19732100,+0178
19732200,+0172
19732300,+0167
19740000,+0039
19740100,+0072
19740200,+0061
19740300,+0061
19740400,+0056
19740500,+0056
19740600,+0056
19740700,+0044
19740800,+0033
19740900,+0033
19741000,+0028
19741100,+0033
19741200,+0028
19741300,+0033
19741400,+0044
19741500,+0056
19741600,+0050
19741700,+0056
19741800,+0044
19741900,+0050
19742000,+0089
19742100,+0100
19742200,+0100
19742300,+0100
19750000,+0022
19750100,+0017
19750200,+0011
19750300,+0006
19750400,+0000
19750500,+0006
19750600,+0000
19750700,-0006
19750800,-0011
19750900,-0011
19751000,-0017
19751100,-0011
19751200,-0011
19751300,+0011
19751400,+0017
19751500,+0039
19751600,+0061
