YHM,temp
19730000,+0050
19730100,+0044
19730200,+0039
19730300,+0033
19730400,+0028
19730500,+0028
19730600,+0028
19730700,+0028
19730800,+0017
19730900,+0011
19731000,+0006
19731100,+0000
19731200,+0000
19731300,+0011
19731400,+0017
19731500,+0028
19731600,+0044
19731700,+0056
19731800,+0056
19731900,+0067
19732000,+0061
19732100,+0061
19732200,+0056
19732300,+0056
19740000,+0044
19740100,+0044
19740200,+0044
19740300,+0039
19740400,+0039
19740500,+0039
19740600,+0039
19740700,+0039
19740800,+0033
19740900,+0033
19741000,+0033
19741100,+0028
19741200,+0028
19741300,+0022
19741400,+0028
19741500,+0044
19741600,+0061
19741700,+0061
19741800,+0078
19741900,+0083
19742000,+0072
19742100,+0072
19742200,+0056
19742300,+0044
19750000,+0044
19750100,+0044
19750200,+0039
19750300,+0061
19750400,+0039
19750500,+0039
19750600,+0033
19750700,+0039
19750800,+0044
19750900,+0050
19751000,+0050
19751100,+0050
19751200,+0056
19751300,+0061
19751400,+0061
19751500,+0072
19751600,+0072
19751700,+0083
19751800,+0083
19751900,+0083
19752000,+0078
19752100,+0083
19752200,+0089
19752300,+0083
19760000,-0033
19760100,-0044
19760200,-0044
19760300,-0050
19760400,-0044
19760500,-0044
19760600,-0044
19760700,-0044
19760800,-0044
19760900,-0056
19761000,-0044
19761100,-0044
19761200,-0056
19761300,-0056
19761400,-0050
19761500,-0044
19761600,-0028
19761700,-0011
19761800,+0011
19761900,+0017
19762000,+0017
19762100,+0017
19762200,+0006
19762300,+0000
19770000,-0011
19770100,+0000
19770200,+0000
19770300,-0006
19770400,+0000
19770500,-0006
19770600,+0000
19770700,+0000
19770700,+0000
19770800,-0006
19770900,-0011
19771000,-0021
19771000,-0022
19771100,-0022
19771200,-0011
19771300,-0010
19771300,-0011
19771400,-0011
19771500,-0006
19771600,+0000
19771700,+0006
19771800,+0000
19771900,+0011
19772000,+0006
19772100,+0011
19772200,+0017
19772300,+0006
19780000,+0006
19780100,+0006
19780200,+0006
19780300,+0006
19780400,+0006
19780500,+0000
19780600,+0011
19780700,+0011
19780800,-0006
19780900,+0011
19781000,+0017
19781100,+0017
19781200,+0011
19781300,+0011
19781300,+0011
19781400,+0028
19781400,+0028
19781500,+0022
19781600,+0028
19781700,+0028
19781800,+0028
19781800,+0028
19781900,+0033
19782000,+0039
19782100,+0044
19782100,+0044
19782200,+0061
19782200,+0067
19782300,+0083
19790000,+0083
19790100,+0089
19790200,+0094
19790300,+0111
19790400,+0094
19790500,+0094
19790600,+0094
