year,hour,obs,D1,D7,D30,D365
1945,0,-31,11,8,56,
1945,1,-9,10,8,56,
1945,2,24,11,9,56,
1945,3,46,12,9,56,
1945,4,80,13,9,56,
1945,5,80,14,10,56,
1945,6,91,16,10,55,
1945,7,91,16,11,55,
1945,8,85,17,11,55,
1945,9,58,17,11,55,
1945,10,30,16,11,55,
1945,11,35,17,11,55,
1945,12,2,16,11,55,
1945,13,-4,15,11,54,
1945,14,8,14,11,54,
1945,15,13,14,11,54,
1945,16,13,15,11,54,
1945,17,19,17,11,54,
1945,18,13,19,11,54,
1945,19,13,21,11,54,
1945,20,74,26,12,54,
1945,21,66,30,12,54,
1945,22,58,34,13,54,
1945,23,52,38,13,54,
1946,0,-53,-10,,,
1946,1,-59,-12,,,
1946,2,-48,-13,,,
1946,3,-37,-14,,,
1946,4,-26,-15,,,
1946,5,-9,-15,,,
1946,6,8,-15,,,
1946,7,2,-16,,,
1946,8,2,-18,,,
1946,9,2,-18,,,
1946,10,-26,-20,,,
1946,11,-42,-23,,,
1946,12,-48,-26,,,
1946,13,-59,-30,,,
1946,14,-53,-32,,,
1946,15,-59,-34,,,
1946,16,-70,-36,,,
1946,17,-65,-38,,,
1946,18,-76,-39,,,
1946,19,-76,-40,,,
1946,20,-76,-42,,,
1946,21,-81,-43,,,
1946,22,-81,-45,,,
1946,23,-87,-47,,,
1947,0,,,,,
1947,1,,,,,
1947,2,,,,,
1947,3,,,,,
1947,4,,,,,
1947,5,,,,,
1947,6,,,,,
1947,7,,,,,
1947,8,,,,,
1947,9,,,,,
1947,10,,,,,
1947,11,,,,,
1947,12,,,,,
1947,13,,,,,
1947,14,,,,,
1947,15,,,,,
1947,16,,,,,
1947,17,,,,,
1947,18,,,,,
1947,19,,,,,
1947,20,,,,,
1947,21,,,,,
1947,22,,,,,
1947,23,,,,,
1948,0,,,,,
1948,1,,,,,
1948,2,,,,,
1948,3,,,,,
1948,4,,,,,
1948,5,,,,,
1948,6,,,,,
