year,hour,obs,D1,D7,D30,D365
1943,0,,,,,
1943,1,,,,,
1943,2,46,,,,
1943,3,52,,,,
1943,4,52,,,,
1943,5,52,,,,
1943,6,63,,,,
1943,7,69,,,,
1943,8,74,,,,
1943,9,85,,,,
1943,10,85,,,,
1943,11,80,,,,
1943,12,85,,,,
1943,13,91,,,,
1943,14,96,,,,
1943,15,102,,,,
1943,16,107,,,,
1943,17,113,,,,
1943,18,107,,,,
1943,19,102,,,,
1943,20,91,,,,
1943,21,80,,,,
1943,22,79,,,,
1943,23,,,,,
1944,0,,,,,
1944,1,,,,,
1944,2,,,,,
1944,3,,,,,
1944,4,,,,,
1944,5,,,,,
1944,6,,,,,
1944,7,,,,,
1944,8,,,,,
1944,9,,,,,
1944,10,,,,,
1944,11,,,,,
1944,12,,,,,
1944,13,,,,,
1944,14,,,,,
1944,15,,,,,
1944,16,,,,,
1944,17,,,,,
1944,18,,,,,
1944,19,,,,,
1944,20,,,,,
1944,21,,,,,
1944,22,,,,,
1944,23,,,,,
1945,0,67,69,24,54,
1945,1,56,69,24,54,
1945,2,50,69,24,54,
1945,3,44,69,25,54,
1945,4,39,68,25,53,
1945,5,33,67,25,53,
1945,6,33,66,26,53,
1945,7,33,65,26,53,
1945,8,33,65,27,53,
1945,9,28,63,27,53,
1945,10,22,62,27,52,
1945,11,22,61,28,52,
1945,12,22,60,28,52,
1945,13,33,59,29,52,
1945,14,56,58,29,52,
1945,15,67,58,30,52,
1945,16,94,58,30,51,
1945,17,100,59,31,51,
1945,18,100,59,31,51,
1945,19,106,59,32,51,
1945,20,111,59,33,51,
1945,21,100,59,33,51,
1945,22,89,59,34,50,
1945,23,83,59,34,50,
1946,0,67,74,15,64,106
1946,1,67,73,15,64,106
1946,2,72,73,16,64,106
1946,3,72,73,16,64,106
1946,4,72,73,16,64,106
1946,5,72,73,16,64,106
1946,6,78,74,17,64,106
1946,7,72,75,17,64,106
1946,8,61,75,17,64,106
1946,9,61,75,18,64,106
1946,10,56,76,18,64,106
1946,11,56,76,19,64,106
1946,12,56,77,20,64,106
1946,13,67,77,21,64,106
1946,14,67,77,21,64,106
1946,15,72,77,22,64,106
1946,16,72,76,23,64,106
1946,17,78,75,24,64,106
1946,18,78,73,25,63,106
1946,19,72,71,26,63,106
1946,20,72,70,27,63,106
1946,21,61,69,28,63,106
1946,22,56,68,29,63,106
1946,23,56,67,30,63,106
1947,0,61,34,16,30,108
1947,1,61,36,17,30,108
1947,2,61,38,17,30,108
1947,3,61,40,17,30,108
1947,4,61,43,17,30,108
1947,5,56,45,18,30,108
1947,6,44,46,18,30,108
1947,7,33,47,18,30,108
1947,8,22,47,18,29,108
1947,9,17,47,18,29,108
1947,10,17,47,19,29,108
1947,11,17,46,19,29,108
1947,12,11,45,19,29,108
1947,13,11,44,19,29,108
1947,14,11,41,19,29,108
1947,15,11,39,19,29,108
1947,16,6,37,18,29,108
1947,17,11,36,18,29,108
1947,18,6,34,17,29,108
1947,19,0,32,17,29,108
1947,20,-6,30,17,29,108
1947,21,-11,27,16,28,108
1947,22,-17,25,16,28,107
1947,23,-17,22,15,28,107
1948,0,61,88,70,81,101
1948,1,50,86,70,81,101
1948,2,44,85,70,81,101
1948,3,44,83,70,81,101
1948,4,39,82,70,81,101
1948,5,33,80,70,80,101
1948,6,33,78,70,80,101
1948,7,28,76,70,80,101
1948,8,22,73,70,80,101
1948,9,17,70,70,80,101
1948,10,11,67,70,80,101
1948,11,11,64,70,80,101
1948,12,6,60,70,80,101
1948,13,6,57,70,80,101
1948,14,11,54,69,80,101
1948,15,22,51,69,79,101
1948,16,33,48,69,79,101
1948,17,39,44,69,79,101
1948,18,50,41,69,79,101
1948,19,56,39,69,79,101
1948,20,50,37,69,79,101
1948,21,44,35,68,78,101
1948,22,44,34,68,78,101
1948,23,44,33,68,78,101
1949,0,-28,-35,-9,41,117
1949,1,-33,-35,-9,41,117
1949,2,-39,-35,-10,41,117
1949,3,-44,-35,-10,41,117
1949,4,-56,-37,-11,40,117
1949,5,-56,-38,-11,40,117
1949,6,-61,-39,-12,40,117
1949,7,-61,-40,-12,40,117
1949,8,-61,-40,-13,39,117
1949,9,-67,-41,-13,39,117
1949,10,-72,-41,-14,39,117
1949,11,-72,-41,-14,39,117
1949,12,-72,-42,-15,38,117
1949,13,-56,-41,-15,38,117
1949,14,-39,-41,-15,38,117
1949,15,-28,-41,-16,38,117
1949,16,-22,-41,-16,38,117
1949,17,-11,-40,-17,38,117
1949,18,-6,-40,-17,37,117
1949,19,-11,-40,-17,37,117
1949,20,-17,-41,-17,37,117
1949,21,-33,-41,-17,37,117
1949,22,-44,-42,-18,37,117
1949,23,-61,-44,-18,36,117
1950,0,106,86,69,69,108
1950,1,111,87,69,69,108
1950,2,106,89,70,69,108
1950,3,106,90,71,69,108
1950,4,111,92,71,69,108
1950,5,117,93,72,69,108
1950,6,122,95,73,69,108
1950,7,111,96,73,69,108
1950,8,111,98,74,69,108
1950,9,100,98,75,69,108
1950,10,100,99,75,69,108
1950,11,100,100,76,69,108
1950,12,94,100,77,69,108
1950,13,89,100,77,69,108
1950,14,94,100,78,69,108
1950,15,100,101,78,69,108
1950,16,100,101,78,69,108
1950,17,111,102,79,69,108
1950,18,122,103,79,69,108
1950,19,122,105,80,69,108
