YHM,temp
19480000,+0017
19480100,+0022
19480200,+0017
19480300,+0017
19480400,+0011
19480500,+0000
19480600,-0011
19480700,-0039
19480800,-0044
19480900,-0050
19481000,-0056
19481100,-0056
19481200,-0044
19481300,-0039
19481400,-0028
19481500,-0028
19481600,-0011
19481700,+0000
19481800,+0006
19481900,+0011
19482000,+0017
19482100,+0011
19482200,+0011
19482300,+0006
19490000,+0044
19490100,+0044
19490200,+0044
19490300,+0044
19490400,+0044
19490500,+0044
19490600,+0039
19490700,+0033
19490800,+0033
19490900,+0017
19491000,+0006
19491100,+0000
19491200,-0011
19491300,-0028
19491400,-0028
19491500,-0022
19491600,-0017
19491700,-0022
19491800,-0028
19491900,-0028
19492000,-0033
19492100,-0044
19492200,-0056
19492300,-0067
19500000,-0111
19500100,-0111
19500200,-0117
19500300,-0122
19500400,-0122
19500500,-0122
19500600,-0128
19500700,-0133
19500800,-0139
19500900,-0139
19501000,-0144
19501100,-0150
19501200,-0144
19501300,-0150
19501400,-0144
19501500,-0128
19501600,-0100
19501700,-0078
19501800,-0067
19501900,-0061
19502000,-0044
19502100,-0044
19502200,-0056
19502300,-0067
19510000,-0056
19510100,-0061
19510200,-0028
19510300,-0022
19510400,-0028
19510500,-0028
19510600,-0028
19510700,-0044
19510800,-0050
19510900,-0056
19511000,-0056
19511100,-0050
19511200,-0044
19511300,-0044
19511400,-0044
19511500,-0033
19511600,-0022
19511700,-0011
19511800,-0011
19511900,-0011
19512000,-0011
19512100,-0017
19512200,-0017
19512300,-0017
19520000,-0017
19520100,-0028
19520200,-0033
19520300,-0033
19520400,-0039
19520500,-0033
19520600,-0039
19520700,-0039
19520800,-0044
19520900,-0039
19521000,-0044
19521100,-0050
19521200,-0061
19521300,-0067
19521400,-0067
19521500,-0050
19521600,-0039
19521700,-0033
19521800,-0033
19521900,-0033
19522000,-0044
19522100,-0044
19522200,-0050
19522300,-0050
19530000,-0039
19530100,-0039
19530200,-0039
19530300,-0039
19530400,-0044
19530500,-0044
19530600,-0044
19530700,-0044
19530800,-0044
19530900,-0056
19531000,-0067
19531100,-0067
19531200,-0067
19531300,-0072
19531400,-0089
19531500,-0100
19531600,-0106
19531700,-0111
19531800,-0111
19531900,-0111
19532000,-0111
19532100,-0117
19532200,-0128
19532300,-0133
19540000,+0006
19540100,+0011
19540200,+0006
19540300,+0006
19540400,+0006
19540500,+0006
19540600,+0006
19540700,+0006
19540800,+0000
19540900,+0000
19541000,+0000
19541100,-0011
19541200,-0011
19541300,-0006
19541400,-0017
19541500,-0006
19541600,-0006
19541700,+0017
19541800,+0017
19541900,+0017
19542000,+0022
19542100,+0017
19542200,+0011
19542300,-0006
19550000,+0028
19550100,+0028
19550200,+0028
19550300,+0028
19550400,+0033
19550500,+0033
19550600,+0033
19550700,+0033
19550800,+0033
19550900,+0033
19551000,+0028
19551100,+0028
19551200,+0028
19551300,+0033
19551400,+0033
19551500,+0033
19551600,+0033
19551700,+0033
19551800,+0028
19551900,+0028
19552000,+0022
19552100,+0022
19552200,+0017
19552300,+0017
19560000,-0033
19560100,-0044
19560200,-0044
19560300,-0056
19560400,-0056
19560500,-0061
19560600,-0067
19560700,-0061
19560800,-0061
19560900,-0072
19561000,-0067
19561100,-0072
19561200,-0072
19561300,-0067
19561400,-0050
19561500,-0028
19561600,+0000
19561700,+0033
19561800,+0039
19561900,+0044
19562000,+0033
19562100,+0022
19562200,+0017
19562300,+0011
19570000,-0056
19570100,-0061
19570200,-0061
19570300,-0067
19570400,-0067
19570500,-0072
19570600,-0072
19570700,-0067
19570800,-0067
19570900,-0067
19571000,-0067
19571100,-0067
19571200,-0061
19571300,-0061
19571400,-0056
19571500,-0044
19571600,-0033
19571700,-0028
19571800,-0022
19571900,-0017
19572000,-0022
19572100,-0028
19572200,-0022
19572300,-0033
19580000,-0122
19580100,-0122
19580200,-0144
19580300,-0144
19580400,-0128
19580500,-0139
19580600,-0133
19580700,-0117
19580800,-0100
19580900,-0106
19581000,-0100
19581100,-0094
19581200,-0089
19581300,-0089
19581400,-0083
19581500,-0061
19581600,-0044
19581700,-0039
19581800,-0033
19581900,-0022
19582000,-0017
19582100,-0022
19582200,-0017
19582300,-0017
19590000,-0217
19590100,-0217
19590200,-0217
19590300,-0217
19590400,-0222
19590500,-0222
19590600,-0222
19590700,-0217
19590800,-0217
19590900,-0217
19591000,-0228
19591100,-0233
19591200,-0233
19591300,-0233
19591400,-0228
19591500,-0211
19591600,-0194
19591700,-0172
19591800,-0150
19591900,-0144
19592000,-0144
19592100,-0139
19592200,-0139
19592300,-0156
19600000,-0100
19600100,-0089
19600200,-0083
19600300,-0072
19600400,-0072
19600500,-0078
19600600,-0083
19600700,-0078
19600800,-0083
19600900,-0094
19601000,-0117
19601100,-0133
19601200,-0144
19601300,-0150
19601400,-0150
19601500,-0150
19601600,-0139
19601700,-0139
19601800,-0122
19601900,-0117
19602000,-0122
19602100,-0122
19602200,-0122
19602300,-0133
19610000,-0078
19610100,-0100
19610200,-0100
19610300,-0122
19610400,-0128
19610500,-0122
19610600,-0117
19610700,-0122
19610800,-0122
19610900,-0111
19611000,-0100
19611100,-0117
19611200,-0100
19611300,-0083
19611400,-0089
19611500,-0067
19611600,-0028
19611700,-0017
19611800,+0000
19611900,+0011
19612000,+0017
19612100,+0011
19612200,+0006
19612300,-0022
19620000,+0017
19620100,+0017
19620200,+0011
19620300,+0011
19620400,+0011
19620500,+0011
19620600,+0017
19620700,+0022
19620800,+0022
19620900,+0022
19621000,+0022
19621100,+0022
19621200,+0022
19621300,+0022
19621400,+0017
19621500,+0011
19621600,+0006
19621700,+0006
19621800,-0006
19621900,-0006
19622000,-0011
19622100,-0017
19622200,-0017
19622300,-0017
19630000,+0006
19630100,+0006
19630200,+0000
19630300,-0006
19630400,-0006
19630500,-0011
19630600,-0011
19630700,-0011
19630800,-0017
19630900,-0022
19631000,-0022
19631100,-0028
19631200,-0033
19631300,-0039
19631400,-0039
19631500,-0017
19631600,-0011
19631700,-0011
19631800,-0011
19631900,-0011
19632000,-0017
19632100,-0017
19632200,-0017
19632300,-0017
19640000,+0006
19640100,+0000
19640200,+0000
19640300,+0000
19640400,+0000
19640500,-0006
19640600,-0006
19640700,-0017
19640800,-0022
19640900,-0028
19641000,-0044
19641100,-0028
19641200,-0028
19641300,-0039
19641400,-0039
19641500,-0017
19641600,+0000
19641700,+0006
19641800,+0022
19641900,+0039
19642000,+0039
19642100,+0028
19642200,+0022
19642300,+0017
19730000,-0122
19730100,-0133
19730200,-0139
19730300,-0144
19730400,-0150
19730500,-0156
19730600,-0161
19730700,-0178
19730800,-0178
19730900,-0183
19731000,-0189
19731100,-0189
19731200,-0189
19731300,-0194
19731400,-0200
19731500,-0194
19731600,-0183
19731700,-0172
19731800,-0161
19731900,-0156
19732000,-0150
19732100,-0150
19732200,-0156
19732300,-0161
19740000,-0122
19740100,-0122
19740200,-0128
19740300,-0139
19740400,-0144
19740500,-0144
19740600,-0150
19740700,-0150
19740800,-0128
19740900,-0117
19741000,-0117
19741100,-0117
19741200,-0117
19741300,-0117
19741400,-0122
19741500,-0117
19741600,-0111
19741700,-0100
19741800,-0089
19741900,-0078
19742000,-0078
19742100,-0083
19742200,-0089
19742300,-0106
19750000,-0056
19750100,-0061
19750200,-0072
19750300,-0072
19750400,-0078
19750500,-0072
19750600,-0078
19750700,-0078
19750800,-0078
19750900,-0094
19751000,-0111
19751100,-0117
19751200,-0117
19751300,-0117
19751400,-0111
19751500,-0094
19751600,-0078
19751700,-0061
19751800,-0044
19751900,-0028
19752000,-0017
19752100,-0006
19752200,-0006
19752300,+0000
19760000,-0133
19760100,-0139
19760200,-0150
19760300,-0161
19760400,-0161
19760500,-0178
19760600,-0178
19760700,-0178
19760800,-0194
19760900,-0189
19761000,-0194
19761100,-0183
19761200,-0178
19761300,-0161
19761400,-0139
19761500,-0133
19761600,-0117
19761700,-0100
19761800,-0078
19761900,-0067
19762000,-0056
19762100,-0056
19762200,-0050
19762300,-0056
19770000,-0061
19770100,-0050
19770200,-0044
19770300,-0044
19770400,-0044
19770500,-0050
19770600,-0056
19770700,-0056
19770800,-0061
19770900,-0061
19771000,-0056
19771100,-0061
19771200,-0061
19771300,-0061
19771400,-0056
19771500,-0056
19771600,-0050
19771700,-0050
19771800,-0044
19771900,-0039
19772000,-0039
19772100,-0033
19772200,-0039
19772300,-0044
19780000,-0067
19780100,-0072
19780200,-0067
19780300,-0078
19780400,-0067
19780500,-0061
19780600,-0061
19780700,-0078
19780800,-0061
19780900,-0056
19781000,-0050
19781100,-0050
19781200,-0033
19781300,-0006
19781400,+0000
19781500,+0000
19781600,+0000
19781700,+0000
19781800,+0000
19781900,+0000
19782000,+0006
19782100,+0006
19782200,+0006
19782300,+0006
19790000,-0200
19790100,-0200
19790200,-0200
19790300,-0206
19790400,-0206
19790500,-0206
19790600,-0206
19790700,-0211
19790800,-0222
19790900,-0228
19791000,-0222
19791100,-0233
19791200,-0233
19791300,-0261
19791400,-0256
19791500,-0239
19791600,-0222
19791700,-0211
19791800,-0194
19791900,-0194
19792000,-0189
19792100,-0189
19792200,-0194
19792300,-0206
19800000,-0039
19800100,-0039
19800200,-0033
19800300,-0044
19800400,-0044
19800500,-0039
19800600,-0044
19800700,-0044
19800800,-0044
19800900,-0044
19801000,-0044
19801100,-0050
19801200,-0044
19801300,-0044
19801400,-0044
19801500,-0050
19801600,-0044
19801700,-0033
19801800,-0039
19801900,-0028
19802000,-0033
19802100,-0028
19802200,-0033
19802300,-0033
19810000,-0167
19810100,-0167
19810200,-0189
19810300,-0211
19810400,-0206
19810500,-0206
19810600,-0211
19810700,-0211
19810800,-0206
19810900,-0217
19811000,-0217
19811100,-0217
19811200,-0206
19811300,-0206
19811400,-0206
19811500,-0183
19811600,-0161
19811700,-0139
19811800,-0122
19811900,-0106
19812000,-0100
19812100,-0094
19812200,-0089
19812300,-0089
19820000,-0050
19820100,-0056
19820200,-0056
19820300,-0067
19820400,-0072
19820500,-0083
19820600,-0094
19820700,-0106
19820800,-0122
19820900,-0139
19821000,-0150
19821100,-0156
19821200,-0144
19821300,-0139
19821400,-0144
19821500,-0133
19821600,-0111
19821700,-0078
19821800,-0028
19821900,-0033
19822000,-0033
19822100,-0033
19822200,-0039
19822300,-0044
19830000,+0000
19830100,-0006
19830200,-0006
19830300,-0011
19830400,-0011
19830500,-0011
19830600,-0011
19830700,-0011
19830800,-0011
19830900,-0011
19831000,-0017
19831100,-0011
19831200,-0011
19831300,-0011
19831400,-0011
19831500,-0006
19831600,-0006
19831700,+0006
19831800,+0006
19831900,+0011
19832000,+0011
