YHM,temp
19480000,+0139
19480100,+0117
19480200,+0111
19480300,+0106
19480400,+0083
19480500,+0083
19480600,+0083
19480700,+0094
19480800,+0094
19480900,+0106
19481000,+0100
19481100,+0100
19481200,+0100
19481300,+0089
19481400,+0089
19481500,+0089
19481600,+0094
19481700,+0094
19481800,+0089
19481900,+0089
19482000,+0089
19482100,+0089
19482200,+0089
19482300,+0078
19490000,+0033
19490100,+0028
19490200,+0028
19490300,+0044
19490400,+0050
19490500,+0056
19490600,+0044
19490700,+0039
19490800,+0039
19490900,+0039
19491000,+0033
19491100,+0033
19491200,+0033
19491300,+0033
19491400,+0056
19491500,+0078
19491600,+0094
19491700,+0122
19491800,+0133
19491900,+0144
19492000,+0161
19492100,+0161
19492200,+0144
19492300,+0128
19500000,+0072
19500100,+0072
19500200,+0072
19500300,+0078
19500400,+0072
19500500,+0078
19500600,+0072
19500700,+0067
19500800,+0067
19500900,+0067
19501000,+0067
19501100,+0067
19501200,+0067
19501300,+0078
19501400,+0094
19501500,+0106
19501600,+0111
19501700,+0122
19501800,+0122
19501900,+0128
19502000,+0128
19502100,+0122
19502200,+0106
19502300,+0094
19510000,-0067
19510100,-0072
19510200,-0083
19510300,-0083
19510400,-0089
19510500,-0072
19510600,-0089
19510700,-0072
19510800,-0067
19510900,-0050
19511000,-0011
19511100,-0011
19511200,-0011
19511300,-0011
19511400,-0006
19511500,+0000
19511600,+0000
19511700,+0000
19511800,-0006
19511900,-0006
19512000,-0011
19512100,-0006
19512200,-0011
19512300,-0006
19520000,+0106
19520100,+0094
19520200,+0089
19520300,+0083
19520400,+0072
19520500,+0072
19520600,+0067
19520700,+0067
19520800,+0061
19520900,+0061
19521000,+0056
19521100,+0050
19521200,+0044
19521300,+0039
19521400,+0039
19521500,+0033
19521600,+0039
19521700,+0039
19521800,+0044
19521900,+0044
19522000,+0044
19522100,+0039
19522200,+0039
19522300,+0033
19530000,+0017
19530100,+0022
19530200,+0028
19530300,+0028
19530400,+0028
19530500,+0033
19530600,+0028
19530700,+0028
19530800,+0022
19530900,+0017
19531000,+0017
19531100,+0006
19531200,-0006
19531300,+0000
19531400,+0039
19531500,+0044
19531600,+0039
19531700,+0044
19531800,+0044
19531900,+0050
19532000,+0039
19532100,+0039
19532200,+0039
19532300,+0033
19540000,+0033
19540100,+0033
19540200,+0033
19540300,+0033
19540400,+0028
19540500,+0028
19540600,+0028
19540700,+0022
19540800,+0022
19540900,+0022
19541000,+0022
19541100,+0028
19541200,+0028
19541300,+0022
19541400,+0039
19541500,+0061
19541600,+0072
19541700,+0078
19541800,+0078
19541900,+0078
19542000,+0078
19542100,+0078
19542200,+0067
19542300,+0061
19550000,+0106
19550100,+0111
19550200,+0106
19550300,+0106
19550400,+0106
19550500,+0094
19550600,+0100
19550700,+0094
19550800,+0083
19550900,+0072
19551000,+0056
19551100,+0044
19551200,+0039
19551300,+0022
19551400,+0022
19551500,+0017
19551600,+0017
19551700,+0011
19551800,+0011
19551900,+0006
19552000,+0000
19552100,-0006
19552200,-0011
19552300,-0017
19560000,+0144
19560100,+0139
19560200,+0139
19560300,+0139
19560400,+0139
19560500,+0144
19560600,+0144
19560700,+0150
19560800,+0144
19560900,+0133
19561000,+0122
19561100,+0117
19561200,+0117
19561300,+0122
19561400,+0117
19561500,+0106
19561600,+0111
19561700,+0117
19561800,+0111
19561900,+0111
19562000,+0106
19562100,+0111
19562200,+0100
19562300,+0083
19570000,+0056
19570100,+0022
19570200,+0022
19570300,+0006
19570400,+0006
19570500,-0006
19570600,-0011
19570700,-0006
19570800,-0011
19570900,-0017
19571000,-0022
19571100,-0022
19571200,-0017
19571300,-0017
19571400,+0006
19571500,+0028
19571600,+0050
19571700,+0067
19571800,+0072
19571900,+0083
19572000,+0089
19572100,+0083
19572200,+0078
19572300,+0061
19580000,+0067
19580100,+0056
19580200,+0044
19580300,+0033
19580400,+0033
19580500,+0044
19580600,+0039
19580700,+0028
19580800,+0022
19580900,+0017
19581000,+0011
19581100,+0006
19581200,+0000
19581300,+0006
19581400,+0017
19581500,+0033
19581600,+0050
19581700,+0072
19581800,+0072
19581900,+0083
19582000,+0083
19582100,+0083
19582200,+0078
19582300,+0056
19590000,+0044
19590100,+0017
19590200,+0011
19590300,+0000
19590400,-0006
19590500,-0011
19590600,-0017
19590700,-0022
19590800,-0022
19590900,-0022
19591000,-0028
19591100,-0033
19591200,-0039
19591300,-0039
19591400,-0039
19591500,-0044
19591600,-0044
19591700,-0033
19591800,-0033
19591900,-0022
19592000,-0028
19592100,-0028
19592200,-0033
19592300,-0044
19600000,+0022
19600100,+0011
19600200,+0011
19600300,+0011
19600400,+0000
19600500,+0011
19600600,+0011
19600700,+0000
19600800,+0000
19600900,-0006
19601000,+0000
19601100,+0006
19601200,+0011
19601300,+0006
19601400,+0006
19601500,+0011
19601600,+0017
19601700,+0022
19601800,+0050
19601900,+0044
19602000,+0056
19602100,+0044
19602200,+0044
19602300,+0011
19610000,+0022
19610100,+0017
19610200,+0000
19610300,-0011
19610400,-0033
19610500,-0039
19610600,-0028
19610700,-0022
19610800,-0022
19610900,-0028
19611000,-0028
19611100,-0028
19611200,-0022
19611300,-0011
19611400,-0006
19611500,+0011
19611600,+0017
19611700,+0028
19611800,+0022
19611900,+0022
19612000,+0022
19612100,+0017
19612200,+0011
19612300,+0011
19620000,+0039
19620100,+0033
19620200,+0033
19620300,+0039
19620400,+0039
19620500,+0011
19620600,+0000
19620700,+0000
19620800,+0000
19620900,+0006
19621000,+0006
19621100,+0000
19621200,+0000
19621300,+0000
19621400,+0000
19621500,+0017
19621600,+0056
19621700,+0072
19621800,+0083
19621900,+0089
19622000,+0089
19622100,+0083
19622200,+0083
19622300,+0078
19630000,+0106
19630100,+0106
19630200,+0100
19630300,+0100
19630400,+0100
19630500,+0100
19630600,+0100
19630700,+0089
19630800,+0067
19630900,+0039
19631000,+0033
19631100,+0022
19631200,+0022
19631300,+0022
19631400,+0033
19631500,+0094
19631600,+0106
19631700,+0122
19631800,+0139
19631900,+0139
19632000,+0133
19632100,+0133
19632200,+0094
19632300,+0094
19640000,+0050
19640100,+0039
19640200,+0033
19640300,+0056
19640400,+0039
19640500,+0000
19640600,-0006
19640700,+0006
19640800,+0006
19640900,+0011
19641000,-0017
19641100,+0006
19641200,-0006
19641300,+0011
19641400,+0022
19641500,+0033
19641600,+0056
19641700,+0078
19641800,+0089
19641900,+0089
19642000,+0094
19642100,+0100
19642200,+0094
19642300,+0100
19730000,-0022
19730100,-0028
19730200,-0039
19730300,-0033
19730400,-0039
19730500,-0033
19730600,-0039
