YHM,temp
19420000,+0291
19420100,+0280
19420200,+0263
19420300,+0257
19420400,+0246
19420500,+0235
19420600,+0235
19420700,+0224
19420800,+0230
19420900,+0230
19421000,+0230
19421100,+0218
19421200,+0218
19421300,+0252
19421400,+0268
19421500,+0274
19421600,+0291
19421700,+0302
19421800,+0318
19421900,+0324
19422000,+0324
19422100,+0329
19422200,+0313
19422300,+0313
19430000,+0252
19430100,+0246
19430200,+0246
19430300,+0230
19430400,+0218
19430500,+0224
19430600,+0218
19430700,+0207
19430800,+0196
19430900,+0202
19431000,+0185
19431100,+0185
19431200,+0174
19431300,+0185
19431400,+0191
19431500,+0213
19431600,+0224
19431700,+0257
19431800,+0268
19431900,+0274
19432000,+0263
19432100,+0268
19432200,+0274
19432300,+0280
19440000,+0213
19440100,+0202
19440200,+0191
19440300,+0185
19440400,+0185
19440500,+0185
19440700,+0185
19440800,+0185
19440900,+0180
19441100,+0185
19441200,+0185
19441300,+0185
19441400,+0191
19441500,+0202
19441600,+0202
19441700,+0213
19441800,+0213
19441900,+0230
19442000,+0252
19442100,+0246
19442200,+0246
19442300,+0241
19450000,+0306
19450100,+0289
19450200,+0272
19450300,+0261
19450400,+0256
19450500,+0267
19450600,+0267
19450700,+0261
19450800,+0250
19450900,+0239
19451000,+0233
19451100,+0222
19451200,+0217
19451300,+0217
19451400,+0222
19451500,+0233
19451600,+0256
19451700,+0267
19451800,+0283
19451900,+0283
19452000,+0294
19452100,+0306
19452200,+0311
19452300,+0311
19460000,+0278
19460100,+0244
19460200,+0211
19460300,+0200
19460400,+0189
19460500,+0167
19460600,+0167
19460700,+0156
19460800,+0150
19460900,+0150
19461000,+0144
19461100,+0150
19461200,+0144
19461300,+0183
19461400,+0206
19461500,+0222
19461600,+0233
19461700,+0244
19461800,+0261
19461900,+0278
19462000,+0289
19462100,+0289
19462200,+0283
19462300,+0278
19470000,+0256
19470100,+0228
19470200,+0217
19470300,+0211
19470400,+0206
19470500,+0206
19470600,+0200
19470700,+0194
19470800,+0194
19470900,+0178
19471000,+0167
19471100,+0167
19471200,+0172
19471300,+0194
19471400,+0211
19471500,+0211
19471600,+0244
19471700,+0261
19471800,+0267
19471900,+0283
19472000,+0289
19472100,+0294
19472200,+0294
19472300,+0283
19480000,+0167
19480100,+0156
19480200,+0150
19480300,+0144
19480400,+0144
19480500,+0144
