YHM,temp
19410600,-0015
19410700,-0026
19411000,-0031
19411100,-0037
19411200,-0042
19411300,-0037
19411400,-0031
19411500,-0026
19411600,-0015
19411700,-0015
19411800,-0009
19412000,+0013
19412100,+0013
19412200,+0008
19412300,-0009
19420000,+0058
19420100,+0052
19420200,+0046
19420300,+0041
19420400,+0035
19420500,+0030
19420600,+0030
19420700,+0030
19420800,+0019
19420900,+0013
19421000,+0008
19421100,+0008
19421200,+0002
19421300,-0004
19421400,-0009
19421500,-0015
19421600,-0015
19421700,-0026
19421800,-0026
19421900,-0031
19422000,-0037
19422100,-0037
19422200,-0037
19422300,-0037
19430000,+0041
19430100,+0041
19430200,+0041
19430300,+0041
19430400,+0041
19430500,+0041
19430600,+0046
19430700,+0041
19430800,+0041
19430900,+0035
19431000,+0035
19431100,+0035
19431200,+0035
19431300,+0030
19431400,+0024
19431500,+0019
19431600,+0019
19431700,+0013
19431800,+0013
19431900,+0008
19432000,+0002
19432100,-0009
19432200,-0020
19432300,-0026
19450000,+0083
19450100,+0083
19450200,+0083
19450300,+0083
19450400,+0078
19450500,+0072
19450600,+0067
19450700,+0056
19450800,+0033
19450900,+0017
19451000,+0000
19451100,+0000
19451200,-0006
19451300,-0022
19451400,-0022
19451500,-0017
19451600,-0011
19451700,-0011
19451800,+0000
19451900,+0011
19452000,+0011
19452100,+0028
19452200,+0022
19452300,+0017
19460000,+0150
19460100,+0128
19460200,+0128
19460300,+0128
19460400,+0128
19460500,+0139
19460600,+0139
19460700,+0150
19460800,+0161
19460900,+0167
19461000,+0172
19461100,+0172
19461200,+0172
19461300,+0178
19461400,+0178
19461500,+0183
19461600,+0183
19461700,+0200
19461800,+0206
19461900,+0211
19462000,+0233
19462100,+0233
19462200,+0222
19462300,+0200
19470000,+0128
19470100,+0106
19470200,+0083
19470300,+0072
19470400,+0067
19470500,+0067
19470600,+0061
19470700,+0050
19470800,+0061
19470900,+0067
19471000,+0056
19471100,+0056
19471200,+0067
19471300,+0044
19471400,+0044
19471500,+0078
19471600,+0100
19471700,+0122
19471800,+0139
19471900,+0161
19472000,+0178
19472100,+0183
19472200,+0189
19472300,+0172
19480000,+0006
19480100,+0000
19480200,-0011
19480300,+0000
19480400,-0006
19480500,-0011
19480600,-0006
19480700,+0000
19480800,-0006
19480900,-0006
19481000,-0017
19481100,-0017
19481200,-0011
19481300,+0006
19481400,+0006
19481500,+0011
19481600,+0017
19481700,+0028
19481800,+0033
19481900,+0050
19482000,+0056
19482100,+0061
19482200,+0072
19482300,+0067
19490000,+0028
19490100,+0011
19490200,+0011
19490300,+0006
19490400,+0000
19490500,+0006
19490600,+0000
19490700,-0006
19490800,-0011
19490900,-0006
19491000,-0006
19491100,-0011
19491200,-0006
19491300,-0011
19491400,-0011
19491500,+0011
19491600,+0039
19491700,+0094
19491800,+0106
19491900,+0133
19492000,+0133
19492100,+0144
19492200,+0128
19492300,+0111
19500000,-0028
19500100,-0039
19500200,-0050
19500300,-0056
19500400,-0061
19500500,-0067
19500600,-0072
19500700,-0078
19500800,-0083
19500900,-0083
19501000,-0067
19501100,-0061
19501200,-0061
19501300,-0061
19501400,-0061
19501500,-0050
19501600,-0044
19501700,-0028
19501800,-0028
19501900,-0017
19502000,-0006
19502100,+0006
19502200,+0000
19502300,-0022
19510000,-0006
19510100,-0011
19510200,-0033
19510300,-0039
19510400,-0039
19510500,-0044
19510600,-0044
19510700,-0056
19510800,-0067
19510900,-0061
19511000,-0078
19511100,-0078
19511200,-0078
19511300,-0078
19511400,-0072
19511500,-0050
19511600,-0022
19511700,+0000
19511800,+0022
19511900,+0044
19512000,+0050
19512100,+0056
19512200,+0056
19512300,+0039
19520000,+0039
19520100,+0028
19520200,+0022
19520300,+0017
19520400,+0006
19520500,-0006
19520600,-0006
19520700,-0022
19520800,-0028
19520900,-0033
19521000,-0039
19521100,-0044
19521200,-0050
19521300,-0056
19521400,-0050
19521500,-0039
19521600,-0022
19521700,-0017
19521800,-0006
19521900,+0006
19522000,+0028
19522100,+0017
19522200,+0006
19522300,+0000
19530000,+0078
19530100,+0044
19530200,+0050
19530300,+0050
19530400,+0044
19530500,+0028
19530600,+0039
19530700,+0028
19530800,+0033
19530900,+0022
19531000,+0011
19531100,+0028
19531200,+0022
19531300,+0017
19531400,+0006
19531500,+0022
19531600,+0044
19531700,+0067
19531800,+0072
19531900,+0072
19532000,+0067
19532100,+0061
19532200,+0050
19532300,+0044
19540000,+0083
19540100,+0072
19540200,+0072
19540300,+0067
19540400,+0061
19540500,+0061
19540600,+0056
19540700,+0033
19540800,+0039
19540900,+0039
19541000,+0039
19541100,+0039
19541200,+0033
19541300,+0028
19541400,+0028
19541500,+0028
19541600,+0033
19541700,+0033
19541800,+0033
19541900,+0033
19542000,+0033
19542100,+0028
19542200,+0022
19542300,+0022
19550000,+0072
19550100,+0050
19550200,+0039
19550300,+0033
19550400,+0033
19550500,+0017
19550600,+0022
19550700,+0044
19550800,+0050
19550900,+0056
19551000,+0056
19551100,+0061
19551200,+0061
19551300,+0067
19551400,+0072
19551500,+0089
19551600,+0100
19551700,+0117
19551800,+0122
19551900,+0133
19552000,+0144
19552100,+0144
19552200,+0139
19552300,+0111
19560000,+0117
19560100,+0111
19560200,+0111
19560300,+0094
19560400,+0106
19560500,+0094
19560600,+0089
19560700,+0044
19560800,+0044
19560900,+0033
19561000,+0039
19561100,+0039
19561200,+0028
19561300,+0033
19561400,+0033
19561500,+0056
19561600,+0094
19561700,+0117
19561800,+0133
19561900,+0156
19562000,+0172
19562100,+0183
19562200,+0194
19562300,+0161
19570000,+0100
19570100,+0078
19570200,+0083
19570300,+0089
19570400,+0083
19570500,+0072
19570600,+0078
19570700,+0083
19570800,+0072
19570900,+0089
19571000,+0100
19571100,+0094
19571200,+0089
19571300,+0083
19571400,+0089
19571500,+0083
19571600,+0100
19571700,+0111
19571800,+0117
19571900,+0122
19572000,+0122
19572100,+0106
19572200,+0083
19572300,+0072
19580000,+0072
19580100,+0072
19580200,+0072
19580300,+0061
19580400,+0061
19580500,+0056
19580600,+0056
19580700,+0050
19580800,+0044
19580900,+0044
19581000,+0044
19581100,+0044
19581200,+0039
19581300,+0039
19581400,+0033
19581500,+0039
19581600,+0033
19581700,+0039
19581800,+0044
19581900,+0072
19582000,+0089
19582100,+0106
19582200,+0106
19582300,+0094
19590000,+0106
19590100,+0106
19590200,+0106
19590300,+0094
19590400,+0111
19590500,+0100
19590600,+0106
19590700,+0106
19590800,+0100
19590900,+0094
19591000,+0089
19591100,+0061
19591200,+0056
19591300,+0056
19591400,+0028
19591500,+0022
19591600,+0017
19591700,+0022
19591800,+0022
19591900,+0028
19592000,+0028
19592100,+0028
19592200,+0028
19592300,+0033
19600000,+0044
19600100,+0028
19600200,+0017
19600300,+0011
19600400,+0006
19600500,+0006
19600600,-0006
19600700,-0011
19600800,-0011
19600900,-0022
19601000,-0022
19601100,-0017
19601200,-0017
19601300,-0017
19601400,-0011
19601500,-0006
19601600,+0000
19601700,+0022
19601800,+0033
19601900,+0033
19602000,+0039
19602100,+0033
19602200,+0028
19602300,+0017
19610000,+0061
19610100,+0056
19610200,+0039
19610300,+0022
19610400,+0011
19610500,+0006
19610600,+0000
19610700,+0000
19610800,-0006
19610900,-0011
19611000,+0000
19611100,-0006
19611200,-0011
19611300,-0022
19611400,-0022
19611500,-0006
19611600,+0011
19611700,+0028
19611800,+0044
19611900,+0050
19612000,+0061
19612100,+0067
19612200,+0072
19612300,+0061
19620000,-0028
19620100,-0039
19620200,-0039
19620300,-0039
19620400,-0033
19620500,-0044
19620600,-0039
19620700,-0039
19620800,-0039
19620900,-0039
19621000,-0044
19621100,-0039
19621200,-0056
19621300,-0056
19621400,-0050
19621500,-0028
19621600,-0006
19621700,+0017
19621800,+0039
19621900,+0050
19622000,+0061
19622100,+0072
19622200,+0067
19622300,+0056
19630000,+0083
19630100,+0056
19630200,+0044
19630300,+0039
19630400,+0044
19630500,+0028
19630600,+0028
19630700,+0011
19630800,-0006
19630900,+0000
19631000,-0006
19631100,-0017
19631200,-0017
19631300,-0028
19631400,-0022
19631500,+0006
19631600,+0022
19631700,+0050
19631800,+0067
19631900,+0094
19632000,+0111
19632100,+0111
19632200,+0106
19632300,+0083
19640000,-0022
19640100,-0017
19640200,-0017
19640300,-0022
19640400,-0033
19640500,-0033
19640600,-0033
19640700,-0044
19640800,-0050
19640900,-0067
19641000,-0061
19641100,-0067
19641200,-0061
19641300,-0056
19641400,-0061
19641500,-0039
19641600,-0022
19641700,+0006
19641800,+0028
19641900,+0039
19642000,+0067
19642100,+0067
19642200,+0067
19642300,+0061
19730000,+0033
19730100,+0027
19730200,+0022
19730300,+0006
19730400,+0000
19730500,-0011
19730600,-0011
19730700,-0011
19730800,-0011
19730900,-0017
19731000,-0027
19731100,-0055
19731200,-0056
19731300,-0061
19731400,-0066
19731500,-0028
19731600,+0000
19731700,+0022
19731800,+0050
19731900,+0072
19732000,+0088
19732100,+0089
19732200,+0094
19732300,+0083
19740000,+0017
19740100,+0017
19740200,+0017
19740300,+0017
19740400,+0017
19740500,+0022
19740600,+0017
19740700,+0000
19740800,-0010
19740900,-0006
19741000,+0000
19741100,+0006
19741200,+0006
19741300,-0005
19741400,+0000
19741500,+0006
19741600,+0006
19741700,+0017
19741800,+0044
19741900,+0056
19742000,+0067
19742100,+0067
19742200,+0078
19742300,+0078
19750000,+0056
19750100,+0033
19750200,+0022
19750300,+0011
19750400,+0006
19750500,-0010
19750600,+0000
19750700,-0016
19750800,-0010
19750900,-0017
19751000,-0032
19751100,-0032
19751200,-0011
19751300,+0000
19751400,-0005
19751500,+0000
19751600,+0017
