YHM,temp
19420000,+0318
19420100,+0302
19420200,+0280
19420300,+0268
19420400,+0268
19420500,+0257
19420600,+0246
19420700,+0241
19420800,+0235
19420900,+0235
19421000,+0224
19421100,+0213
19421200,+0213
19421300,+0263
19421400,+0285
19421500,+0313
19421600,+0324
19421700,+0335
19421800,+0352
19421900,+0352
19422000,+0357
19422100,+0352
19422200,+0346
19422300,+0363
19430000,+0357
19430100,+0341
19430200,+0324
19430300,+0307
19430400,+0296
19430500,+0291
19430600,+0274
19430700,+0268
19430800,+0257
19430900,+0252
19431000,+0252
19431100,+0230
19431200,+0246
19431300,+0268
19431400,+0291
19431500,+0285
19431600,+0324
19431700,+0341
19431800,+0352
19431900,+0346
19432000,+0363
19432100,+0368
19432200,+0352
19432300,+0352
19440000,+0363
19440100,+0352
19440200,+0329
19440300,+0302
19440400,+0285
19440500,+0274
19440600,+0252
19440700,+0252
19440800,+0241
19440900,+0218
19441000,+0218
19441100,+0207
19441200,+0224
19441300,+0257
19441400,+0285
19441500,+0296
19441600,+0313
19441700,+0335
19441800,+0341
19441900,+0352
19442000,+0352
19442100,+0363
19442200,+0357
19442300,+0357
19450000,+0306
19450100,+0306
19450200,+0294
19450300,+0283
19450400,+0267
19450500,+0261
19450600,+0250
19450700,+0256
19450800,+0244
19450900,+0239
19451000,+0233
19451100,+0233
19451200,+0222
19451300,+0228
19451400,+0239
19451500,+0267
19451600,+0283
19451700,+0289
19451800,+0300
19451900,+0311
19452000,+0322
19452100,+0333
19452200,+0322
19452300,+0333
19460000,+0361
19460100,+0350
19460200,+0339
19460300,+0328
19460400,+0311
19460500,+0300
19460600,+0294
19460700,+0283
19460800,+0289
19460900,+0278
19461000,+0272
19461100,+0267
19461200,+0267
19461300,+0278
19461400,+0294
19461500,+0317
19461600,+0322
19461700,+0339
19461800,+0356
19461900,+0378
19462000,+0383
19462100,+0378
19462200,+0372
19462300,+0367
19470000,+0333
19470100,+0306
19470200,+0283
19470300,+0256
19470400,+0267
19470500,+0256
19470600,+0250
19470700,+0244
19470800,+0239
19470900,+0239
19471000,+0239
19471100,+0228
19471200,+0233
19471300,+0250
19471400,+0272
19471500,+0300
19471600,+0322
19471700,+0339
19471800,+0344
19471900,+0350
19472000,+0350
19472100,+0356
19472200,+0350
19472300,+0350
19480000,+0333
19480100,+0317
19480200,+0294
19480300,+0278
19480400,+0267
19480500,+0256
19480600,+0250
19480700,+0239
19480800,+0239
19480900,+0233
19481000,+0228
19481100,+0228
19481200,+0228
19481300,+0233
19481400,+0250
19481500,+0272
19481600,+0306
19481700,+0317
19481800,+0328
19481900,+0328
19482000,+0333
19482100,+0339
19482200,+0339
19482300,+0333
19490000,+0311
19490100,+0294
19490200,+0289
19490300,+0267
19490400,+0261
19490500,+0256
19490600,+0256
19490700,+0250
19490800,+0244
19490900,+0239
19491000,+0233
19491100,+0233
19491200,+0233
19491300,+0250
19491400,+0267
19491500,+0283
19491600,+0294
19491700,+0311
19491800,+0317
19491900,+0322
19492000,+0333
19492100,+0339
19492200,+0333
19492300,+0328
19500000,+0278
19500100,+0272
19500200,+0250
19500300,+0244
19500400,+0233
19500500,+0233
19500600,+0222
19500700,+0222
19500800,+0217
19500900,+0211
19501000,+0206
19501100,+0206
19501200,+0206
19501300,+0211
19501400,+0217
19501500,+0233
19501600,+0250
19501700,+0267
19501800,+0267
19501900,+0283
19502000,+0278
19502100,+0233
19502200,+0228
19502300,+0228
19510000,+0339
19510100,+0311
19510200,+0283
19510300,+0272
19510400,+0267
19510500,+0250
19510600,+0244
19510700,+0244
19510800,+0244
19510900,+0244
19511000,+0239
19511100,+0233
19511200,+0233
19511300,+0250
19511400,+0267
19511500,+0283
19511600,+0294
19511700,+0306
19511800,+0322
19511900,+0339
19512000,+0356
19512100,+0361
19512200,+0361
19512300,+0350
19520000,+0344
19520100,+0328
19520200,+0294
19520300,+0283
19520400,+0278
19520500,+0272
19520600,+0261
19520700,+0256
