timescale,timestamp,temp
D1,2026-09-26 13:00:00+00:00,29.5
D30,2026-09-26 13:00:00+00:00,33.9
D365,2026-09-26 13:00:00+00:00,26.7
D7,2026-09-26 13:00:00+00:00,31.4
obs,2026-09-26 12:50:00+00:00,26.0
