timescale,timestamp,temp
D1,2026-07-26 17:00:00+00:00,22.0
D30,2026-07-26 17:00:00+00:00,22.3
D365,2026-07-26 17:00:00+00:00,13.1
D7,2026-07-26 17:00:00+00:00,21.2
obs,2026-07-26 16:40:00+00:00,24.9
