timescale,timestamp,temp
D1,2023-06-12 13:00:00+00:00,29.1
D30,2023-06-12 13:00:00+00:00,25.3
D365,2023-06-12 13:00:00+00:00,21.6
D7,2023-06-12 13:00:00+00:00,25.9
obs,2023-06-12 12:53:00+00:00,27.2
