timescale,timestamp,temp
D1,2026-07-28 17:00:00+00:00,26.6
D30,2026-07-28 17:00:00+00:00,26.8
D365,2026-07-28 17:00:00+00:00,17.6
D7,2026-07-28 17:00:00+00:00,28.8
obs,2026-07-28 16:30:00+00:00,26.0
