YHM,temp
19730000,+0261
19730100,+0244
19730200,+0244
19730300,+0239
19730400,+0222
19730500,+0228
19730600,+0211
19730700,+0211
19730800,+0211
19730900,+0206
19731000,+0200
19731100,+0200
19731200,+0206
19731300,+0233
19731400,+0261
19731500,+0272
19731600,+0283
19731700,+0294
19731800,+0294
19731900,+0306
19732000,+0294
19732100,+0300
19732200,+0300
19732300,+0289
19740000,+0206
19740100,+0200
19740200,+0189
19740300,+0178
19740400,+0178
19740500,+0178
19740600,+0172
19740700,+0172
19740800,+0167
19740900,+0161
19741000,+0167
19741100,+0178
19741200,+0178
19741300,+0200
19741400,+0217
19741500,+0233
19741600,+0239
19741700,+0256
19741800,+0261
19741900,+0272
19742000,+0272
19742100,+0283
19742200,+0272
19742300,+0256
19750000,+0267
19750100,+0256
19750200,+0228
19750300,+0222
19750400,+0189
19750500,+0194
19750600,+0194
19750700,+0178
19750800,+0183
19750900,+0172
19751000,+0178
19751100,+0172
19751200,+0189
19751300,+0222
19751400,+0250
19751500,+0267
19751600,+0272
19751700,+0272
19751800,+0283
19751900,+0289
19752000,+0289
19752100,+0294
19752200,+0289
19752300,+0272
19760000,+0300
19760100,+0289
19760200,+0278
19760300,+0267
19760400,+0261
19760500,+0250
19760600,+0233
19760700,+0228
19760800,+0222
19760900,+0222
19761000,+0211
19761100,+0200
19761200,+0206
19761300,+0211
19761400,+0239
19761500,+0239
19761600,+0244
19761700,+0256
19761800,+0278
19761900,+0317
19761900,+0261
19762000,+0261
19762100,+0278
19762200,+0278
19762300,+0272
19770000,+0306
19770100,+0294
19770200,+0283
19770300,+0272
19770400,+0267
19770500,+0256
19770600,+0256
19770700,+0239
19770800,+0228
19770900,+0217
19771000,+0217
19771100,+0217
19771200,+0222
19771300,+0228
19771400,+0250
19771500,+0256
19771600,+0278
19771700,+0294
19771800,+0294
19771900,+0300
19772000,+0306
19772100,+0311
19772200,+0306
19772300,+0300
19780000,+0244
19780100,+0222
19780200,+0206
19780300,+0194
19780400,+0183
19780500,+0178
19780600,+0172
19780700,+0156
19780800,+0150
19780900,+0150
19781000,+0139
19781100,+0144
19781200,+0178
19781300,+0200
19781400,+0206
19781500,+0217
19781600,+0228
19781700,+0239
19781800,+0250
19781900,+0250
19782000,+0267
19782100,+0267
19782200,+0272
19782300,+0261
19790000,+0267
19790100,+0250
19790200,+0233
19790300,+0217
19790400,+0217
19790500,+0206
19790600,+0200
19790700,+0189
19790800,+0183
19790900,+0183
19791000,+0178
19791100,+0172
19791200,+0189
19791300,+0211
19791400,+0228
19791500,+0239
19791600,+0256
19791700,+0261
19791800,+0267
19791900,+0278
19792000,+0267
19792100,+0278
19792200,+0278
19792300,+0272
19800000,+0283
19800100,+0272
19800200,+0267
19800300,+0250
19800400,+0244
19800500,+0239
19800600,+0228
19800700,+0222
19800800,+0217
19800900,+0211
19801000,+0211
19801100,+0206
19801200,+0211
19801300,+0233
19801400,+0256
19801500,+0283
19801600,+0300
19801700,+0283
19801800,+0289
19801900,+0300
19802000,+0322
19802100,+0322
19802200,+0317
19802300,+0311
19810000,+0306
19810100,+0294
19810200,+0278
19810300,+0278
19810400,+0272
19810500,+0267
19810600,+0256
19810700,+0250
19810800,+0233
19810900,+0233
19811000,+0228
19811100,+0222
19811200,+0239
19811300,+0261
19811400,+0278
19811500,+0294
19811600,+0306
19811700,+0317
19811800,+0328
19811900,+0333
19812000,+0333
19812100,+0333
19812200,+0333
19812300,+0328
19820000,+0256
19820100,+0233
19820200,+0228
19820300,+0228
19820400,+0222
19820500,+0211
19820600,+0206
19820700,+0194
19820800,+0189
19820900,+0183
19821000,+0178
19821100,+0178
19821200,+0189
19821300,+0211
19821400,+0244
19821500,+0261
19821600,+0267
19821700,+0278
19821800,+0283
19821900,+0283
19822000,+0289
19822100,+0289
19822200,+0283
19822300,+0278
19830000,+0267
19830100,+0244
19830200,+0233
19830300,+0222
19830400,+0217
19830500,+0200
19830600,+0189
19830700,+0183
19830800,+0183
19830900,+0178
19831000,+0167
19831100,+0172
19831200,+0189
19831300,+0206
19831400,+0233
19831500,+0250
19831600,+0261
19831700,+0267
19831800,+0278
19831900,+0283
19832000,+0289
19832100,+0289
19832200,+0289
19832300,+0283
19840000,+0294
19840100,+0283
19840200,+0278
19840300,+0267
19840400,+0239
19840500,+0228
19840600,+0222
19840700,+0222
19840800,+0217
19840900,+0211
19841000,+0211
19841100,+0206
19841200,+0211
