year,hour,obs,D1,D7,D30,D365
1991,0,-133,-89,-86,-87,
1991,1,-183,-93,-86,-87,
1991,2,-139,-96,-86,-87,
1991,3,-122,-97,-86,-87,
1991,4,-139,-100,-85,-87,
1991,5,-139,-102,-85,-87,
1991,6,-117,-104,-84,-88,
1991,7,-94,-104,-84,-88,
1991,8,-94,-104,-83,-88,
1991,9,-111,-105,-82,-88,
1991,10,-128,-107,-81,-88,
1991,11,-156,-109,-81,-88,
1991,12,-161,-112,-80,-89,
1991,13,-167,-115,-79,-89,
1991,14,-161,-118,-79,-89,
1991,15,-156,-122,-78,-89,
1991,16,-144,-124,-78,-89,
1991,17,-139,-127,-78,-90,
1991,18,-133,-128,-78,-90,
1991,19,-133,-131,-78,-90,
1991,20,-128,-132,-78,-90,
1991,21,-139,-134,-78,-90,
1991,22,-139,-136,-78,-90,
1991,23,-194,-140,-78,-91,
1992,0,-39,-7,-99,-91,78
1992,1,-39,-9,-99,-91,78
1992,2,-44,-11,-98,-91,78
1992,3,-44,-13,-97,-91,78
1992,4,-56,-15,-96,-91,78
1992,5,-61,-17,-96,-91,78
1992,6,-67,-20,-95,-91,78
1992,7,-78,-24,-94,-91,78
1992,8,-83,-28,-93,-91,78
1992,9,-89,-32,-93,-90,78
1992,10,-94,-36,-92,-90,78
1992,11,-100,-40,-91,-90,78
1992,12,-106,-45,-90,-90,78
1992,13,-111,-50,-89,-90,78
1992,14,-117,-55,-89,-90,78
1992,15,-117,-59,-88,-90,78
1992,16,-111,-63,-87,-91,78
1992,17,-111,-67,-87,-91,78
1992,18,-106,-71,-86,-91,78
1992,19,-100,-74,-85,-91,78
1992,20,-94,-78,-85,-91,78
1992,21,-94,-81,-84,-91,78
1992,22,-94,-83,-84,-91,78
1992,23,-106,-86,-83,-91,78
1993,0,-183,-208,-119,-79,62
1993,1,-183,-206,-120,-80,62
1993,2,-178,-203,-121,-80,62
1993,3,-172,-201,-122,-80,62
1993,4,-178,-199,-124,-80,62
1993,5,-183,-197,-125,-80,61
1993,6,-161,-194,-126,-80,61
1993,7,-161,-191,-127,-80,61
1993,8,-178,-189,-128,-80,61
1993,9,-183,-187,-129,-80,61
1993,10,-189,-186,-129,-81,61
