YHM,temp
19730000,+0028
19730100,+0016
19730200,+0016
19730300,+0017
19730400,+0016
19730500,+0011
19730600,+0006
19730700,+0005
19730800,+0011
19730900,+0028
19731000,+0033
19731100,+0022
19731200,+0022
19731300,+0022
19731400,+0022
19731500,+0017
19731600,+0016
19731700,+0016
19731800,+0017
19731900,+0011
19732000,+0005
19732100,+0006
19732200,+0005
19732300,+0011
19740000,-0006
19740100,-0005
19740200,-0005
19740300,-0006
19740400,+0000
19740500,-0005
19740600,+0000
19740700,+0000
19740900,-0006
19741000,-0005
19741100,-0005
19741200,-0006
19741300,+0000
19741400,-0005
19741500,+0006
19741600,+0017
19741700,+0028
19741800,+0028
19741900,+0033
19742000,+0033
19742100,+0028
19742200,+0011
19742300,+0006
19750000,-0106
19750100,-0138
19750200,-0143
19750300,-0144
19750400,-0138
19750500,-0132
19750600,-0128
19750700,-0127
19750800,-0127
19750900,-0133
19751000,-0132
19751100,-0149
19751200,-0156
19751300,-0166
19751400,-0138
19751500,-0117
19751600,-0105
19751700,-0093
19751800,-0089
19751900,-0082
19752000,-0082
19752100,-0089
19752200,-0088
19752300,-0093
19760000,-0228
19760100,-0243
19760200,-0255
19760300,-0272
19760400,-0277
19760500,-0271
19760600,-0289
19760700,-0288
19760800,-0288
19760900,-0289
19761000,-0299
19761100,-0299
19761200,-0311
19761300,-0305
19761500,-0206
19761600,-0188
19761700,-0171
19761800,-0156
19761900,-0155
19762000,-0155
19762100,-0167
19762200,-0155
19762300,-0149
19770000,-0078
19770100,-0089
19770200,-0094
19770300,-0106
19770400,-0117
19770500,-0139
19770600,-0139
19770700,-0128
19770800,-0128
19770900,-0127
19770900,-0128
19771000,-0128
19771100,-0139
19771200,-0144
19771300,-0150
19771400,-0172
19771500,-0128
19771600,-0117
19771700,-0100
19771800,-0083
19771900,-0083
19772000,-0072
19772100,-0094
19772200,-0094
19772300,-0094
19780000,-0078
19780100,-0078
19780200,-0089
19780300,-0094
19780400,-0094
19780500,-0094
19780600,-0117
19780700,-0122
19780800,-0128
19780900,-0133
19781000,-0133
19781100,-0144
19781200,-0150
19781300,-0156
19781400,-0150
19781500,-0144
19781600,-0139
19781700,-0122
19781800,-0111
19781900,-0111
19782000,-0111
19782100,-0111
19782200,-0117
19782300,-0111
19790000,-0028
19790100,-0028
19790200,-0028
19790300,-0044
19790400,-0056
19790500,-0056
19790600,-0061
19790700,-0061
19790800,-0061
19790900,-0061
19791000,-0050
19791100,-0056
19791200,-0056
19791300,-0056
19791400,-0050
19791500,-0044
19791600,-0039
19791700,-0022
19791800,-0017
19791900,-0006
19792000,+0000
19792100,-0006
19792200,+0000
19792300,+0000
19800000,-0139
19800100,-0138
19800200,-0149
19800300,-0161
19800400,-0166
19800500,-0182
19800600,-0178
19800700,-0177
19800800,-0177
19800900,-0183
19801100,-0205
19801200,-0217
19801300,-0205
19801400,-0188
19801500,-0167
19801600,-0143
19801700,-0121
19801800,-0106
19801900,-0082
19802000,-0071
19802100,-0072
19802200,-0071
19802300,-0060
19810000,-0044
19810100,-0039
19810200,-0028
19810300,-0028
19810400,-0022
19810500,-0017
19810600,-0011
19810700,+0006
19810800,+0017
19810900,+0017
19811000,+0017
19811100,+0017
19811200,+0017
19811300,+0028
19811400,+0028
19811500,+0028
19811600,+0028
19811700,+0028
19811800,+0033
19811900,+0033
19812000,+0028
19812100,+0028
19812200,+0022
19812300,+0000
19820000,+0000
19820100,-0006
19820200,+0000
19820300,+0006
19820400,+0006
19820500,+0000
19820600,+0000
19820700,+0006
19820800,+0000
19820900,+0011
19821000,+0011
19821100,+0011
19821200,+0011
19821300,+0017
19821400,+0022
19821500,+0028
19821600,+0039
19821700,+0050
19821800,+0061
19821900,+0133
19822000,+0156
19822100,+0161
19822200,+0156
19822300,+0156
19830000,-0061
19830100,-0056
19830200,-0056
19830300,-0050
19830400,-0050
19830500,-0056
19830600,-0072
19830700,-0067
19830800,-0061
19830900,-0056
19831000,-0056
19831100,-0056
19831200,-0067
19831300,-0061
19831400,-0056
19831500,-0050
19831600,-0044
19831700,-0044
19831800,-0039
19831900,-0039
19832000,-0039
19832100,-0050
19832200,-0044
19832300,-0039
19840000,-0167
19840100,-0167
19840200,-0167
19840300,-0161
19840400,-0167
19840500,-0167
19840600,-0161
19840700,-0156
19840800,-0156
19840900,-0150
19841000,-0144
19841100,-0144
19841200,-0139
19841300,-0133
19841317,-0143
19841400,-0139
19841500,-0128
19841600,-0106
19841700,-0061
19841800,-0033
19841900,-0028
19842000,-0028
19842100,-0022
19842200,-0011
19842300,-0011
19850000,-0033
19850100,-0044
19850200,-0044
19850300,-0050
19850400,-0061
19850500,-0061
19850600,-0067
19850700,-0072
19850800,-0078
19850900,-0089
19851000,-0094
19851100,-0100
19851200,-0111
19851300,-0117
19851400,-0106
19851500,-0089
19851600,-0072
19851700,-0067
19851800,-0072
19851900,-0056
19852000,-0056
19852100,-0061
19852200,-0072
19852300,-0072
19860000,-0089
19860100,-0100
19860200,-0111
19860300,-0117
19860400,-0122
19860500,-0122
19860600,-0111
19860700,-0106
19860800,-0072
19860900,-0061
19861000,-0061
19861100,-0056
19861200,-0061
19861300,-0056
19861400,-0050
19861500,-0033
19861600,-0017
19861700,+0006
19861800,+0011
19861900,+0017
19862000,+0022
19862100,+0017
19862200,+0017
19862300,+0017
19870000,-0006
19870100,-0017
19870200,-0028
19870300,-0044
19870400,-0056
19870500,-0067
19870600,-0083
19870700,-0089
19870800,-0100
19870900,-0111
19871000,-0117
19871100,-0128
19871200,-0133
19871300,-0139
19871400,-0128
19871500,-0106
19871600,-0111
19871700,-0106
19871800,-0100
19871900,-0089
19872000,-0089
19872100,-0089
19872200,-0094
19872300,-0100
19880000,-0033
19880100,+0000
19880200,-0017
19880300,+0000
19880400,+0056
19880500,+0056
19880600,+0056
19880700,+0056
19880800,+0067
19880900,+0033
19881000,+0033
19881100,+0028
19881200,+0039
19881300,+0044
19881400,+0033
19881500,+0039
19881600,+0033
19881700,+0017
19881800,+0006
19881900,+0006
19882000,+0006
19882100,+0000
19882200,-0006
